DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy
142700,142700,,Transmission,Mk10,1,16:00:00 31-May-2017,00:00:00 01-Jun-2017,,,,0.5,0.00,5.5,0.00,,,,
142700,142700,,Transmission,Mk10,3,00:00:00 02-Jun-2017,08:00:00 02-Jun-2017,,,,0.5,0.00,5.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,00:00:00 03-Jun-2017,08:00:00 03-Jun-2017,,,,1.0,0.00,5.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,08:00:00 03-Jun-2017,16:00:00 03-Jun-2017,,,,1.0,0.00,4.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,08:00:00 04-Jun-2017,16:00:00 04-Jun-2017,,,,0.5,0.00,5.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,00:00:00 07-Jun-2017,08:00:00 07-Jun-2017,,,,0.5,0.00,4.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,00:00:00 08-Jun-2017,08:00:00 08-Jun-2017,,,,0.5,0.00,4.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,08:00:00 08-Jun-2017,16:00:00 08-Jun-2017,,,,0.5,0.00,5.0,0.00,,,,
142700,142700,,Transmission,Mk10,2,16:00:00 08-Jun-2017,00:00:00 09-Jun-2017,,,,0.5,0.00,5.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,16:00:00 10-Jun-2017,00:00:00 11-Jun-2017,,,,0.5,0.00,5.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,00:00:00 11-Jun-2017,08:00:00 11-Jun-2017,,,,1.0,0.00,4.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,16:00:00 12-Jun-2017,00:00:00 13-Jun-2017,,,,1.0,0.00,6.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,00:00:00 15-Jun-2017,08:00:00 15-Jun-2017,,,,0.5,0.00,5.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,08:00:00 17-Jun-2017,16:00:00 17-Jun-2017,,,,1.0,0.00,4.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,16:00:00 17-Jun-2017,00:00:00 18-Jun-2017,,,,1.0,0.00,4.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,16:00:00 20-Jun-2017,00:00:00 21-Jun-2017,,,,1.0,0.00,6.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,00:00:00 22-Jun-2017,08:00:00 22-Jun-2017,,,,1.0,0.00,4.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,16:00:00 22-Jun-2017,00:00:00 23-Jun-2017,,,,1.0,0.00,6.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,08:00:00 24-Jun-2017,16:00:00 24-Jun-2017,,,,0.5,0.00,4.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,16:00:00 24-Jun-2017,00:00:00 25-Jun-2017,,,,1.0,0.00,5.0,0.00,,,,
142700,142700,,Transmission,Mk10,3,08:00:00 25-Jun-2017,16:00:00 25-Jun-2017,,,,0.5,0.00,5.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,00:00:00 27-Jun-2017,08:00:00 27-Jun-2017,,,,1.0,0.00,5.0,0.00,,,,
142700,142700,,Transmission,Mk10,3,16:00:00 01-Jul-2017,00:00:00 02-Jul-2017,,,,0.5,0.00,5.0,0.00,,,,
142700,142700,,Transmission,Mk10,2,00:00:00 02-Jul-2017,08:00:00 02-Jul-2017,,,,0.5,0.00,5.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,16:00:00 02-Jul-2017,00:00:00 03-Jul-2017,,,,0.5,0.00,5.5,0.00,,,,
142700,142700,,Transmission,Mk10,1,00:00:00 03-Jul-2017,08:00:00 03-Jul-2017,,,,1.0,0.00,5.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,08:00:00 06-Jul-2017,16:00:00 06-Jul-2017,,,,1.0,0.00,6.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,16:00:00 06-Jul-2017,00:00:00 07-Jul-2017,,,,1.0,0.00,6.0,0.00,,,,
142700,142700,,Transmission,Mk10,1,00:00:00 09-Jul-2017,08:00:00 09-Jul-2017,,,,0.5,0.00,4.5,0.00,,,,
