DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
Coquinho,226068,,Mk10,12:00:00 28-Dec-2021,,,,0.0,27.6,Status
Coquinho,226068,,Mk10,12:00:00 02-Jan-2022,,,,0.0,27.5,Status
Coquinho,226068,,Mk10,08:00:00 05-Jan-2022,,,,0.0,27.6,Status
Coquinho,226068,,Mk10,10:00:00 09-Jan-2022,,,,0.0,27.5,Status
Coquinho,226068,,Mk10,10:00:00 10-Jan-2022,,,,0.0,27.5,Status
Coquinho,226068,,Mk10,13:00:00 16-Jan-2022,,,,0.0,27.8,Status
Coquinho,226068,,Mk10,10:00:00 20-Jan-2022,,,,0.0,27.6,Status
Coquinho,226068,,Mk10,10:00:00 23-Jan-2022,,,,0.0,27.7,Status
Coquinho,226068,,Mk10,09:00:00 25-Jan-2022,,,,0.0,27.7,Status
Coquinho,226068,,Mk10,12:00:00 25-Jan-2022,,,,0.0,27.8,Status
Coquinho,226068,,Mk10,12:00:00 30-Jan-2022,,,,0.0,28.1,Status
Coquinho,226068,,Mk10,09:00:00 31-Jan-2022,,,,0.0,28.0,Status
Coquinho,226068,,Mk10,11:00:00 02-Feb-2022,,,,0.0,27.6,Status
Coquinho,226068,,Mk10,09:00:00 03-Feb-2022,,,,0.0,27.9,Status
Coquinho,226068,,Mk10,12:00:00 03-Feb-2022,,,,0.0,28.0,Status
Coquinho,226068,,Mk10,09:00:00 04-Feb-2022,,,,0.0,27.9,Status
Coquinho,226068,,Mk10,12:00:00 05-Feb-2022,,,,0.0,28.2,Status
Coquinho,226068,,Mk10,10:00:00 12-Feb-2022,,,,0.0,28.1,Status
Coquinho,226068,,Mk10,09:00:00 16-Feb-2022,,,,0.0,28.1,Status
Coquinho,226068,,Mk10,09:00:00 22-Feb-2022,,,,0.0,28.0,Status
Coquinho,226068,,Mk10,20:00:00 23-Feb-2022,,,,0.0,28.3,Status
Coquinho,226068,,Mk10,13:00:00 26-Feb-2022,,,,0.0,28.4,Status
Coquinho,226068,,Mk10,10:00:00 27-Feb-2022,,,,0.0,28.3,Status
Coquinho,226068,,Mk10,22:00:00 27-Feb-2022,,,,0.0,28.6,Status
Coquinho,226068,,Mk10,13:00:00 04-Mar-2022,,,,0.0,29.2,Status
Coquinho,226068,,Mk10,01:00:00 05-Mar-2022,,,,0.0,29.2,Status
Coquinho,226068,,Mk10,00:00:00 06-Mar-2022,,,,0.0,29.3,Status
Coquinho,226068,,Mk10,21:00:00 09-Mar-2022,,,,0.0,29.3,Status
Coquinho,226068,,Mk10,22:00:00 10-Mar-2022,,,,0.0,28.8,Status
Coquinho,226068,,Mk10,20:00:00 12-Mar-2022,,,,0.0,29.3,Status
Coquinho,226068,,Mk10,00:00:00 18-Mar-2022,,,,0.0,29.4,Status
Coquinho,226068,,Mk10,12:00:00 20-Mar-2022,,,,0.0,29.3,Status
Coquinho,226068,,Mk10,00:00:00 24-Mar-2022,,,,0.0,29.6,Status
Coquinho,226068,,Mk10,22:00:00 24-Mar-2022,,,,0.0,29.9,Status
Coquinho,226068,,Mk10,10:00:00 25-Mar-2022,,,,0.0,29.6,Status
Coquinho,226068,,Mk10,00:00:00 26-Mar-2022,,,,0.0,29.9,Status
Coquinho,226068,,Mk10,20:00:00 26-Mar-2022,,,,0.0,29.8,Status
Coquinho,226068,,Mk10,10:00:00 04-Apr-2022,,,,0.0,29.1,Status
Coquinho,226068,,Mk10,09:00:00 05-Apr-2022,,,,0.0,29.1,Status
Coquinho,226068,,Mk10,01:00:00 08-Apr-2022,,,,0.0,29.2,Status
Coquinho,226068,,Mk10,22:00:00 09-Apr-2022,,,,0.0,29.3,Status
Coquinho,226068,,Mk10,08:00:00 13-Apr-2022,,,,0.0,29.2,Status
Coquinho,226068,,Mk10,11:00:00 14-Apr-2022,,,,0.0,29.4,Status
Coquinho,226068,,Mk10,22:00:00 15-Apr-2022,,,,0.0,29.7,Status
Coquinho,226068,,Mk10,02:00:00 17-Apr-2022,,,,0.0,29.5,Status
Coquinho,226068,,Mk10,23:00:00 18-Apr-2022,,,,0.0,30.4,Status
Coquinho,226068,,Mk10,22:00:00 20-Apr-2022,,,,0.0,30.4,Status
Coquinho,226068,,Mk10,21:00:00 24-Apr-2022,,,,0.0,29.3,Status
Coquinho,226068,,Mk10,01:00:00 28-Apr-2022,,,,0.0,29.2,Status
Coquinho,226068,,Mk10,11:00:00 30-Apr-2022,,,,0.0,29.1,Status
Coquinho,226068,,Mk10,00:00:00 01-May-2022,,,,0.0,29.4,Status
Coquinho,226068,,Mk10,08:00:00 02-May-2022,,,,0.0,29.0,Status
Coquinho,226068,,Mk10,13:00:00 03-May-2022,,,,0.0,29.3,Status
Coquinho,226068,,Mk10,22:00:00 07-May-2022,,,,0.0,28.7,Status
Coquinho,226068,,Mk10,09:00:00 09-May-2022,,,,0.0,28.6,Status
Coquinho,226068,,Mk10,11:00:00 11-May-2022,,,,0.0,28.7,Status
Coquinho,226068,,Mk10,23:00:00 11-May-2022,,,,0.0,28.8,Status
Coquinho,226068,,Mk10,11:00:00 12-May-2022,,,,0.0,28.5,Status
Coquinho,226068,,Mk10,20:00:00 13-May-2022,,,,0.0,28.8,Status
