Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
2278,162067,23,NK,3,3,06-May-2016,15:07:34,47.6772,-122.1339,,401677231,-117,58,0,06-May-2016,15:04:35,47.6772,-122.1339,420,120,358,40,94,,,4,172,184,241,34,0,26,51,71,211,240,5,0,80,92,93,60,0,3,205,182,127,192,,,,,,,,,
2278,162067,23,NK,3,3,06-May-2016,15:07:34,47.6772,-122.1339,,401677231,-117,58,0,06-May-2016,15:05:35,47.6772,-122.1339,420,120,358,40,94,,,4,1,76,241,98,189,155,51,71,211,240,5,0,80,92,93,60,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,NK,3,3,06-May-2016,15:07:34,47.6772,-122.1339,,401677231,-117,58,0,06-May-2016,15:06:35,47.6772,-122.1339,420,120,358,40,94,,,4,164,182,241,162,0,28,51,71,211,240,5,0,80,92,93,56,0,3,250,95,127,192,,,,,,,,,
2278,162067,23,NK,3,3,06-May-2016,15:07:34,47.6772,-122.1339,,401677231,-117,58,0,06-May-2016,15:07:35,47.6772,-122.1339,420,120,358,40,94,,,4,1,76,241,226,99,178,51,71,211,240,5,0,80,92,93,60,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,NK,3,3,06-May-2016,15:07:34,47.6772,-122.1339,,401677231,-117,58,0,06-May-2016,15:08:35,47.6772,-122.1339,420,120,358,40,94,,,4,164,182,242,34,0,30,51,55,211,240,5,0,80,92,93,56,0,3,83,227,127,192,,,,,,,,,
2278,162067,23,NK,3,3,06-May-2016,15:07:34,47.6772,-122.1339,,401677231,-117,58,0,06-May-2016,15:09:35,47.6772,-122.1339,420,120,358,40,94,,,4,1,76,242,98,170,175,51,55,211,240,5,0,80,92,93,60,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,NK,3,3,06-May-2016,15:07:34,47.6772,-122.1339,,401677231,-117,58,0,06-May-2016,15:10:35,47.6772,-122.1339,420,120,358,40,94,,,4,172,182,242,162,0,32,51,87,211,240,5,0,80,92,93,60,0,3,175,22,127,192,,,,,,,,,
2278,162067,23,NK,3,3,06-May-2016,15:07:34,47.6772,-122.1339,,401677231,-117,58,0,06-May-2016,15:11:35,47.6772,-122.1339,420,120,358,40,94,,,4,1,76,242,226,180,195,51,55,211,240,5,0,208,84,93,40,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,NN,2,4,06-May-2016,15:20:34,47.6791,-122.1345,,401677234,-135,56,0,06-May-2016,15:20:35,47.6791,-122.1345,600,269,667,108,101,,,6,164,182,245,34,0,42,51,71,211,240,5,0,80,92,93,60,0,3,183,172,127,192,,,,,,,,,
2278,162067,23,NN,2,4,06-May-2016,15:20:34,47.6791,-122.1345,,401677234,-135,56,0,06-May-2016,15:21:35,47.6791,-122.1345,600,269,667,108,101,,,6,1,76,245,98,64,243,51,71,211,240,5,0,80,92,93,60,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,NN,2,4,06-May-2016,15:20:34,47.6791,-122.1345,,401677234,-135,56,0,06-May-2016,15:22:35,47.6791,-122.1345,600,269,667,108,101,,,6,164,182,245,162,0,44,51,55,211,240,5,0,80,92,93,60,0,3,236,22,127,192,,,,,,,,,
2278,162067,23,NN,2,4,06-May-2016,15:20:34,47.6791,-122.1345,,401677234,-135,56,0,06-May-2016,15:23:35,47.6791,-122.1345,600,269,667,108,101,,,6,1,76,245,226,158,218,51,71,211,240,5,0,80,92,93,60,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,NN,2,4,06-May-2016,15:20:34,47.6791,-122.1345,,401677234,-135,56,0,06-May-2016,15:24:35,47.6791,-122.1345,600,269,667,108,101,,,6,164,182,246,34,0,46,51,71,211,240,5,0,80,92,93,60,0,3,69,170,127,192,,,,,,,,,
2278,162067,23,NN,2,4,06-May-2016,15:20:34,47.6791,-122.1345,,401677234,-135,56,0,06-May-2016,15:25:35,47.6791,-122.1345,600,269,667,108,101,,,6,1,76,246,98,115,183,51,71,211,240,5,0,80,92,93,60,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,NN,2,4,06-May-2016,15:20:34,47.6791,-122.1345,,401677234,-135,56,0,06-May-2016,15:26:35,47.6791,-122.1345,600,269,667,108,101,,,6,164,182,246,162,0,48,51,71,211,240,5,0,80,92,93,60,0,3,61,234,127,192,,,,,,,,,
2278,162067,23,NN,2,4,06-May-2016,15:20:34,47.6791,-122.1345,,401677234,-135,56,0,06-May-2016,15:28:35,47.6791,-122.1345,600,269,667,108,101,,,6,164,182,247,34,0,50,51,71,211,240,5,0,80,92,93,60,0,3,82,95,127,192,,,,,,,,,
2278,162067,23,NN,2,4,06-May-2016,15:20:34,47.6791,-122.1345,,401677234,-135,56,0,06-May-2016,15:30:35,47.6791,-122.1345,600,269,667,108,101,,,6,164,182,247,162,0,52,51,71,211,240,5,0,80,92,93,64,0,3,234,40,127,192,,,,,,,,,
2278,162067,23,MA,1,5,06-May-2016,16:09:04,47.6768,-122.1346,,401677234,-123,68,0,06-May-2016,16:07:35,47.6768,-122.1346,180,611,2329,160,115,,,6,1,77,1,226,233,210,51,71,211,240,5,0,80,92,93,96,0,2,127,192,0,64,,,,,,,,,
2278,162067,23,MA,1,5,06-May-2016,16:09:04,47.6768,-122.1346,,401677234,-123,68,0,06-May-2016,16:08:35,47.6768,-122.1346,180,611,2329,160,115,,,6,164,193,2,34,0,90,51,71,211,224,5,0,80,92,93,64,0,3,233,230,127,192,,,,,,,,,
2278,162067,23,MA,1,5,06-May-2016,16:09:04,47.6768,-122.1346,,401677234,-123,68,0,06-May-2016,16:09:35,47.6768,-122.1346,180,611,2329,160,115,,,6,1,77,2,98,148,129,51,71,211,224,5,0,80,92,93,64,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,MA,1,5,06-May-2016,16:09:04,47.6768,-122.1346,,401677234,-123,68,0,06-May-2016,16:10:35,47.6768,-122.1346,180,611,2329,160,115,,,6,164,193,2,162,0,92,51,71,211,224,5,0,80,92,93,60,0,3,81,145,127,192,,,,,,,,,
2278,162067,23,NK,1,6,06-May-2016,16:48:04,47.6734,-122.1360,Lat > 4 deviations from mean,401677236,-130,58,0,06-May-2016,16:46:35,47.6734,-122.1360,180,843,2541,279,58,,,6,156,203,11,162,0,128,51,71,211,224,5,0,80,92,93,64,0,3,239,120,127,192,,,,,,,,,
2278,162067,23,NK,1,6,06-May-2016,16:48:04,47.6734,-122.1360,Lat > 4 deviations from mean,401677236,-130,58,0,06-May-2016,16:47:35,47.6734,-122.1360,180,843,2541,279,58,,,6,1,77,11,226,21,201,51,71,211,224,5,0,80,92,93,60,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,NK,1,6,06-May-2016,16:48:04,47.6734,-122.1360,Lat > 4 deviations from mean,401677236,-130,58,0,06-May-2016,16:48:35,47.6734,-122.1360,180,843,2541,279,58,,,6,156,205,12,34,0,130,51,71,211,240,5,0,80,92,93,60,0,3,215,160,127,192,,,,,,,,,
2278,162067,23,NK,1,6,06-May-2016,16:48:04,47.6734,-122.1360,Lat > 4 deviations from mean,401677236,-130,58,0,06-May-2016,16:49:35,47.6734,-122.1360,180,843,2541,279,58,,,6,1,77,12,98,124,85,51,71,211,224,5,0,80,92,93,60,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,MB,A,7,06-May-2016,16:59:34,47.6788,-122.1426,Lon > 4 deviations from mean,401677237,-128,8,0,06-May-2016,16:59:35,47.6788,-122.1426,180,657,6255,68,99,,,6,1,77,14,226,208,59,51,71,211,240,5,0,80,92,93,60,0,2,127,192,0,0,,,,,,,,,
2278,162067,23,MB,A,7,06-May-2016,16:59:34,47.6788,-122.1426,Lon > 4 deviations from mean,401677237,-128,8,0,06-May-2016,17:00:35,47.6788,-122.1426,180,657,6255,68,99,,,6,156,207,16,34,0,142,51,71,211,240,5,0,80,92,93,60,0,3,104,148,127,192,,,,,,,,,
