"source","age","lon","lat"
"Lamont","Juv",-85.3849999999977,29.7590000000097
"Lamont","Juv",-85.3849018559017,29.7591450493741
"Lamont","Juv",-85.3846635268107,29.7594435690073
"Lamont","Juv",-85.3806327869294,29.7619556927285
"Lamont","Juv",-85.3796660745971,29.761914879483
"Lamont","Juv",-85.3791778619102,29.7616902150955
"Lamont","Juv",-85.3759399079428,29.7519099355864
"Lamont","Juv",-85.3745579414143,29.7472704611722
"Lamont","Juv",-85.3689513133125,29.7373493191515
"Lamont","Juv",-85.3682073737156,29.7360655070571
"Lamont","Juv",-85.3680961223732,29.7351663297474
"Lamont","Juv",-85.3683898352244,29.7345947998997
"Lamont","Juv",-85.3740291341279,29.7346536849837
"Lamont","Juv",-85.3748355113356,29.7338682017097
"Lamont","Juv",-85.3752616954712,29.7288546450644
"Lamont","Juv",-85.373071059572,29.7160409648203
"Lamont","Juv",-85.3718572408667,29.7200350878722
"Lamont","Juv",-85.3717711959159,29.7204080224138
"Lamont","Juv",-85.3719534403314,29.7199797205544
"Lamont","Juv",-85.3719989866067,29.7198846375369
"Lamont","Juv",-85.3724042373966,29.7190272311587
"Lamont","Juv",-85.3722109135494,29.7184861292119
"Lamont","Juv",-85.3720249856382,29.7184068595101
"Lamont","Juv",-85.370991391992,29.7186240926177
"Lamont","Juv",-85.370528935777,29.7187176317849
"Lamont","Juv",-85.3687055904963,29.7190605412481
"Lamont","Juv",-85.3677312642804,29.7192094473624
"Lamont","Juv",-85.3671208153441,29.7192720718065
"Lamont","Juv",-85.3651668551874,29.7191857003334
"Lamont","Juv",-85.3642402848347,29.7190872121529
"Lamont","Juv",-85.3638041094977,29.7190308894541
"Lamont","Juv",-85.3613013499683,29.7184427765476
"Lamont","Juv",-85.3605327743217,29.7182738105831
"Lamont","Juv",-85.3601502199406,29.7182012647656
"Lamont","Juv",-85.360720103061,29.7197180742579
"Lamont","Juv",-85.3609438854408,29.7199328323502
"Lamont","Juv",-85.3611202106996,29.7200373027607
"Lamont","Juv",-85.3631215062389,29.7200682111436
"Lamont","Juv",-85.3648938270167,29.720036166189
"Lamont","Juv",-85.3654918217885,29.7200708928168
"Lamont","Juv",-85.3669525764307,29.7214962503578
"Lamont","Juv",-85.3633131116231,29.723278184545
"Lamont","Juv",-85.3631332120116,29.7232468500038
"Lamont","Juv",-85.3631047997901,29.7232196646794
"Lamont","Juv",-85.3660570510682,29.7207907606872
"Lamont","Juv",-85.3719135708659,29.7205919928659
"Lamont","Juv",-85.3721660365156,29.7205931932246
"Lamont","Juv",-85.3723069824289,29.7205966475541
"Lamont","Juv",-85.3818648728953,29.725657820642
"Lamont","Juv",-85.3857319814099,29.7564718084984
"Lamont","Juv",-85.3806546952928,29.7588043657733
"Lamont","Juv",-85.378482369178,29.7568030273482
"Lamont","Juv",-85.3771607220985,29.7533924446848
"Lamont","Juv",-85.3764331192777,29.7478074199523
"Lamont","Juv",-85.3779728541198,29.7419957172765
"Lamont","Juv",-85.3702262558251,29.7391943914223
"Lamont","Juv",-85.3674750790387,29.7170962788496
"Lamont","Juv",-85.3671564828873,29.7095364286799
"Lamont","Juv",-85.3669000849236,29.7121684081641
"Lamont","Juv",-85.3667453208122,29.7147130822628
"Lamont","Juv",-85.366730492458,29.7150825823308
"Lamont","Juv",-85.3693624674909,29.7246700088931
"Lamont","Juv",-85.3699567823018,29.7274468066778
"Lamont","Juv",-85.3707769855265,29.7374853314811
"Lamont","Juv",-85.3708294584372,29.7389174494789
"Lamont","Juv",-85.3672093603745,29.7405849710121
"Lamont","Juv",-85.3669224809935,29.7410123799503
"Lamont","Juv",-85.3725580021145,29.7505712243412
"Lamont","Juv",-85.3733767144102,29.7525421222075
"Lamont","Juv",-85.3739262194214,29.7546820013516
"Lamont","Juv",-85.3742183241742,29.756837664357
"Lamont","Juv",-85.3726630814394,29.765929292051
"Lamont","Juv",-85.3727798437847,29.7714154656068
"Lamont","Juv",-85.3599264920699,29.7295337541397
"Lamont","Juv",-85.3528482577411,29.7061945899306
"Lamont","Juv",-85.35369529199,29.7020962937631
"Lamont","Juv",-85.3721960592622,29.7102252409396
"Lamont","Juv",-85.3733622765708,29.7108707208457
"Lamont","Juv",-85.3742990337359,29.7276212810406
"Lamont","Juv",-85.3727366131336,29.7362075229839
"Lamont","Juv",-85.3688039761576,29.7426711971376
"Lamont","Juv",-85.3684028722667,29.7433322854255
"Lamont","Juv",-85.3674147931284,29.7492416415751
"Lamont","Juv",-85.3632649467337,29.7166114722902
"Lamont","Juv",-85.3627046868417,29.7148587703035
"Lamont","Juv",-86.8617999999994,30.3823800000009
"Lamont","Juv",-86.8605806558529,30.3834030440891
"Lamont","Juv",-86.8527640161593,30.384013753876
"Lamont","Juv",-86.851122193257,30.3827928406589
"Lamont","Juv",-86.8506049360463,30.3822621813444
"Lamont","Juv",-86.850332077876,30.3819469978584
"Lamont","Juv",-86.8491053596019,30.3795976912929
"Lamont","Juv",-86.8485960924247,30.3785877943709
"Lamont","Juv",-86.8480986451794,30.3776022957576
"Lamont","Juv",-86.8420296385087,30.3703189110897
"Lamont","Juv",-86.8419358610256,30.3702089076033
"Lamont","Juv",-86.8417834328245,30.3700346451965
"Lamont","Juv",-86.8403181633032,30.3688083296062
"Lamont","Juv",-86.8392380276476,30.3694389694566
"Lamont","Juv",-86.839186798597,30.3704929037961
"Lamont","Juv",-86.8690089087729,30.3777424599081
"Lamont","Juv",-86.8701906878735,30.3798257143298
"Lamont","Juv",-86.8693906558221,30.3814720787748
"Lamont","Juv",-86.8690075428917,30.3819322735014
"Lamont","Juv",-86.8649992981625,30.3812986358722
"Lamont","Juv",-86.8623610112073,30.381219901871
"Lamont","Juv",-86.853252530648,30.3808945321677
"Lamont","Juv",-86.8571479435419,30.3790071707687
"Lamont","Juv",-86.8574295202247,30.3787932069995
"Lamont","Juv",-86.857479813196,30.3787620861563
