DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt
181925,181925,0.500000,UT,,,23:47:26 07-Nov-2019,,A,-25.4984,-48.4554,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00q,,23:47:45 07-Nov-2019,,A,-25.4984,-48.4554,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:56:46 07-Nov-2019,,A,-25.4816,-48.4397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:57:12 07-Nov-2019,,A,-25.4816,-48.4397,,,,,,,,,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,02:02:40 08-Nov-2019,,B,-25.4809,-48.4511,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,02:03:41 08-Nov-2019,,B,-25.4809,-48.4511,,,,,,,,,25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,08:05:49 08-Nov-2019,,A,-25.4921,-48.4543,,,,,19712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,08:06:23 08-Nov-2019,,A,-25.4921,-48.4543,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,08:07:32 08-Nov-2019,,A,-25.4921,-48.4543,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,09:30:50 08-Nov-2019,,B,-25.4741,-48.4898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,09:31:32 08-Nov-2019,,B,-25.4818,-48.4688,,,,,,,,,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,20:46:51 08-Nov-2019,,A,-25.4481,-48.5424,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,20:47:06 08-Nov-2019,,A,-25.4481,-48.5424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,20:47:43 08-Nov-2019,,A,-25.4481,-48.5424,,,,,19855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:07:57 08-Nov-2019,,B,-25.4977,-48.4088,,,,,19876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:23:40 08-Nov-2019,,B,-25.4942,-48.4337,,,,,,,,,25.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:24:10 08-Nov-2019,,B,-25.4942,-48.4337,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,01:13:08 09-Nov-2019,,B,-25.4546,-48.4157,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,01:50:04 09-Nov-2019,,A,-25.4880,-48.4269,,,,,19914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,01:50:20 09-Nov-2019,01:50:19 09-Nov-2019,0,A,-25.4880,-48.4269,CRC,,,,19915,3.400,,,25.45,,,,,,,,,,,,,,185,46,233,,,,,,,,8,,,,81
181925,181925,0.500000,UT,,,01:51:19 09-Nov-2019,,A,-25.4880,-48.4269,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,13:04:34 09-Nov-2019,,B,-25.4872,-48.3580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,21:58:12 09-Nov-2019,,1,-25.4810,-48.4375,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:58:29 09-Nov-2019,,1,-25.4810,-48.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:05:48 09-Nov-2019,,1,-25.4810,-48.4375,,,,,20136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:06:03 09-Nov-2019,,1,-25.4810,-48.4375,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:59:36 09-Nov-2019,,1,-25.4880,-48.4238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:59:51 09-Nov-2019,,1,-25.4880,-48.4238,,,,,,,,,25.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:00:06 09-Nov-2019,,1,-25.4880,-48.4238,,,,,20152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:00:22 09-Nov-2019,,1,-25.4880,-48.4238,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,00:16:46 10-Nov-2019,,B,-25.4953,-48.4108,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
