cor,Region,Method
NA,Brazil_all,HGLM_hybrid
0.522,Brazil_all,HGLM_hybrid
0.813,Brazil_all,HGLM_hybrid
0.798,Brazil_all,HGLM_hybrid
0.798,Brazil_all,HGLM_hybrid
0.522,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
0.522,Brazil_all,HGLM_hybrid
0.798,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
0.174,Brazil_all,HGLM_hybrid
0.213,Brazil_all,HGLM_hybrid
0.522,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
0.182,Brazil_all,HGLM_hybrid
0.432,Brazil_all,HGLM_hybrid
0.213,Brazil_all,HGLM_hybrid
0.264,Brazil_all,HGLM_hybrid
0.5,Brazil_all,HGLM_hybrid
0.5,Brazil_all,HGLM_hybrid
0.44,Brazil_all,HGLM_hybrid
0.265,Brazil_all,HGLM_hybrid
0.522,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
NA,Brazil_all,HGLM_hybrid
0.246,Brazil_all,HGLM_hybrid
0.162,Brazil_all,HGLM_hybrid
0.345,Brazil_all,HGLM_hybrid
-0.032,Brazil_all,HGLM_hybrid
0.753,Brazil_all,HGLM_hybrid
0.522,Brazil_all,HGLM_hybrid
0.669,Brazil_all,HGLM_hybrid
0.493,Brazil_all,HGLM_hybrid
0.701,Brazil_main,HGLM_hybrid
0.813,Brazil_main,HGLM_hybrid
0.701,Brazil_main,HGLM_hybrid
0.701,Brazil_main,HGLM_hybrid
0.701,Brazil_main,HGLM_hybrid
0.701,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.813,Brazil_main,HGLM_hybrid
0.798,Brazil_main,HGLM_hybrid
0.798,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.798,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
NA,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.701,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.701,Brazil_main,HGLM_hybrid
0.522,Brazil_main,HGLM_hybrid
0.813,Qatar,HGLM_hybrid
0.888,Qatar,HGLM_hybrid
0.701,Qatar,HGLM_hybrid
0.522,Qatar,HGLM_hybrid
0.683,Qatar,HGLM_hybrid
NA,Qatar,HGLM_hybrid
NA,Qatar,HGLM_hybrid
NA,Qatar,HGLM_hybrid
NA,Qatar,HGLM_hybrid
NA,Qatar,HGLM_hybrid
0.932,Qatar,HGLM_hybrid
0.498,Qatar,HGLM_hybrid
NA,Qatar,HGLM_hybrid
NA,Qatar,HGLM_hybrid
0.701,Qatar,HGLM_hybrid
0.813,Brazil_all,HGPR_corr
0.957,Brazil_all,HGPR_corr
0.813,Brazil_all,HGPR_corr
0.813,Brazil_all,HGPR_corr
0.813,Brazil_all,HGPR_corr
0.813,Brazil_all,HGPR_corr
0.701,Brazil_all,HGPR_corr
0.701,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
0.522,Brazil_all,HGPR_corr
0.834,Brazil_all,HGPR_corr
0.821,Brazil_all,HGPR_corr
0.847,Brazil_all,HGPR_corr
0.522,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
0.522,Brazil_all,HGPR_corr
0.601,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
