scale,cor,Region
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,0.522,Brazil_all
40,0.522,Brazil_all
40,0.522,Brazil_all
40,0.522,Brazil_all
40,0.156,Brazil_all
40,0.365,Brazil_all
40,0.701,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,-0.058,Brazil_all
40,0.35,Brazil_all
40,0.512,Brazil_all
40,0.608,Brazil_all
40,0.35,Brazil_all
40,0.544,Brazil_all
40,0.303,Brazil_all
40,0.201,Brazil_all
40,0.467,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,NA,Brazil_all
40,0,Brazil_all
40,0.058,Brazil_all
40,0.836,Brazil_all
40,0.6,Brazil_all
40,0.782,Brazil_all
40,0.751,Brazil_all
40,0.455,Brazil_all
40,0.389,Brazil_all
5,0.813,Brazil_main
5,0.957,Brazil_main
5,0.813,Brazil_main
5,0.813,Brazil_main
5,0.813,Brazil_main
5,0.813,Brazil_main
5,0.701,Brazil_main
5,0.701,Brazil_main
5,NA,Brazil_main
5,0.701,Brazil_main
5,0.873,Brazil_main
5,0.844,Brazil_main
5,0.819,Brazil_main
5,0.522,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,0.522,Brazil_main
5,0.601,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,0.701,Brazil_main
5,0.522,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,0.406,Brazil_main
5,0.406,Brazil_main
5,0.701,Brazil_main
5,0.813,Brazil_main
5,0.813,Brazil_main
5,0.701,Brazil_main
5,0.798,Brazil_main
5,0.528,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,NA,Brazil_main
5,0.701,Brazil_main
5,0.813,Brazil_main
5,0.813,Brazil_main
5,0.701,Brazil_main
5,0.813,Brazil_main
5,0.701,Brazil_main
10,0.798,Brazil_main
10,0.907,Brazil_main
10,0.899,Brazil_main
10,0.925,Brazil_main
10,0.813,Brazil_main
10,0.813,Brazil_main
10,0.522,Brazil_main
10,0.798,Brazil_main
10,NA,Brazil_main
10,0.701,Brazil_main
10,0.701,Brazil_main
10,0.798,Brazil_main
10,0.798,Brazil_main
10,0.406,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,0.522,Brazil_main
10,0.623,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,0.701,Brazil_main
10,0.701,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,0.406,Brazil_main
10,0.679,Brazil_main
10,0.544,Brazil_main
10,0.874,Brazil_main
10,0.589,Brazil_main
10,0.874,Brazil_main
10,0.768,Brazil_main
10,0.899,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,NA,Brazil_main
10,0.528,Brazil_main
10,0.874,Brazil_main
10,0.798,Brazil_main
10,0.798,Brazil_main
10,0.813,Brazil_main
10,0.798,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,NA,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.701,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,NA,Brazil_main
20,0.522,Brazil_main
20,0.701,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
20,0.522,Brazil_main
40,0.522,Brazil_main
40,0.874,Brazil_main
40,0.833,Brazil_main
40,0.798,Brazil_main
40,0.764,Brazil_main
40,0.738,Brazil_main
40,0.522,Brazil_main
40,0.701,Brazil_main
40,NA,Brazil_main
40,0.522,Brazil_main
40,0.623,Brazil_main
40,0.701,Brazil_main
40,0.623,Brazil_main
40,0.406,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,0.522,Brazil_main
40,0.623,Brazil_main
40,0.522,Brazil_main
40,0.522,Brazil_main
40,0.522,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,0.522,Brazil_main
40,0.522,Brazil_main
40,0.522,Brazil_main
40,0.522,Brazil_main
40,0.522,Brazil_main
40,0.548,Brazil_main
40,0.701,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,0.522,Brazil_main
40,0.623,Brazil_main
40,0.753,Brazil_main
40,0.528,Brazil_main
40,0.683,Brazil_main
40,0.522,Brazil_main
40,0.522,Brazil_main
40,0.467,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,NA,Brazil_main
40,0.822,Brazil_main
40,0.799,Brazil_main
40,0.847,Brazil_main
40,0.768,Brazil_main
40,0.545,Brazil_main
40,0.522,Brazil_main
5,0.813,Qatar
5,0.888,Qatar
5,0.813,Qatar
5,0.522,Qatar
5,0.683,Qatar
5,NA,Qatar
5,NA,Qatar
5,NA,Qatar
5,NA,Qatar
5,NA,Qatar
5,0.932,Qatar
5,0.469,Qatar
5,NA,Qatar
5,NA,Qatar
5,0.701,Qatar
10,-0.097,Qatar
10,0.875,Qatar
10,0.925,Qatar
10,0.406,Qatar
10,0.683,Qatar
10,NA,Qatar
10,NA,Qatar
10,NA,Qatar
10,NA,Qatar
10,NA,Qatar
10,-0.874,Qatar
10,-0.939,Qatar
10,-0.009,Qatar
10,NA,Qatar
10,0.701,Qatar
20,0.701,Qatar
20,0.798,Qatar
20,0.912,Qatar
20,0.701,Qatar
20,0.701,Qatar
20,NA,Qatar
20,NA,Qatar
20,NA,Qatar
