DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Green,162055,Mk10,DS,1,0,0,,,01:18:01 12-Apr-2017,MA,B,25.4128,-80.2853,25.4128,-80.2853,8,,401677381,-126
Green,162055,Mk10,DS,2,0,1,43,43,02:49:04 12-Apr-2017,MA,B,25.4086,-80.2774,25.4086,-80.2774,8,,401677381,-130
Green,162055,Mk10,DS,2,0,1,45,45,09:42:29 12-Apr-2017,NP,B,25.3993,-80.2672,25.3993,-80.2672,8,,401677389,-127
Green,162055,Mk10,DS,1,0,0,,,10:15:16 12-Apr-2017,SR,B,25.4022,-80.2741,25.4022,-80.2741,8,,401677388,-127
Green,162055,Mk10,DS,1,0,1,,,11:37:42 12-Apr-2017,NN,B,25.4050,-80.2726,25.4050,-80.2726,8,,401677385,-127
Green,162055,Mk10,DS,1,0,0,,,11:56:17 12-Apr-2017,SR,B,25.4051,-80.2750,25.4051,-80.2750,6,,401677385,-127
Green,162055,Mk10,DS,2,0,2,215,215,13:40:36 12-Apr-2017,MA,B,25.4124,-80.2945,25.4124,-80.2945,8,,401677382,-129
Green,162055,Mk10,DS,1,0,0,,,15:18:39 12-Apr-2017,MA,B,25.4148,-80.2971,25.4148,-80.2971,8,,401677382,-118
Green,162055,Mk10,DS,1,0,1,,,19:28:39 12-Apr-2017,NP,B,25.4120,-80.2996,25.4120,-80.2996,8,,401677368,-136
Green,162055,Mk10,DS,2,0,1,255,255,21:02:38 12-Apr-2017,NP,B,25.4076,-80.2999,25.4076,-80.2999,8,,401677367,-128
Green,162055,Mk10,DS,1,0,0,,,22:39:00 12-Apr-2017,SR,B,25.4054,-80.3002,25.4054,-80.3002,8,,401677370,-132
Green,162055,Mk10,DS,1,0,0,,,22:53:07 12-Apr-2017,NN,B,25.4074,-80.2995,25.4074,-80.2995,6,,401677373,-131
Green,162055,Mk10,DS,2,0,0,450,450,23:00:37 12-Apr-2017,NK,B,25.4086,-80.3029,25.4086,-80.3029,6,,401677372,-130
Green,162055,Mk10,DS,1,0,1,,,00:20:26 13-Apr-2017,SR,B,25.4070,-80.3003,25.4070,-80.3003,8,,401677374,-131
Green,162055,Mk10,DS,1,0,0,,,00:56:29 13-Apr-2017,MA,B,25.4071,-80.3004,25.4071,-80.3004,8,,401677374,-129
Green,162055,Mk10,DS,1,0,0,,,01:50:41 13-Apr-2017,MB,B,25.4073,-80.3014,25.4073,-80.3014,8,,401677375,-135
Green,162055,Mk10,DS,1,0,0,,,02:31:32 13-Apr-2017,MA,B,25.4076,-80.3012,25.4076,-80.3012,8,,401677376,-129
Green,162055,Mk10,DS,1,0,1,,,09:38:47 13-Apr-2017,NP,B,25.4056,-80.3055,25.4056,-80.3055,8,,401677379,-135
Green,162055,Mk10,DS,1,0,1,,,11:27:35 13-Apr-2017,NN,B,25.4065,-80.3002,25.4065,-80.3002,8,,401677377,-128
Green,162055,Mk10,DS,1,0,1,,,11:27:35 13-Apr-2017,SR,B,25.4096,-80.2994,25.4096,-80.2994,,,401677380,-133
Green,162055,Mk10,DS,1,0,1,,,11:27:35 13-Apr-2017,NK,B,25.4071,-80.3007,25.4071,-80.3007,,,401677378,-137
Green,162055,Mk10,DS,1,0,1,,,14:56:08 13-Apr-2017,MA,B,25.4151,-80.3017,25.4151,-80.3017,8,,401677375,-127
Green,162055,Mk10,DS,1,0,1,,,15:59:02 13-Apr-2017,MB,B,25.4164,-80.3037,25.4164,-80.3037,8,,401677374,-131
Green,162055,Mk10,DS,2,0,0,107,107,20:51:34 13-Apr-2017,NP,B,25.4079,-80.2907,25.4079,-80.2907,8,,401677368,-128
Green,162055,Mk10,DS,3,0,3,108,63,22:44:52 13-Apr-2017,NN,A,25.4070,-80.2984,25.4070,-80.2984,8,,401677368,-130
Green,162055,Mk10,DS,2,0,2,257,257,23:42:01 13-Apr-2017,SR,B,25.4096,-80.2989,25.4096,-80.2989,8,,401677370,-125
Green,162055,Mk10,DS,1,0,0,,,00:13:18 14-Apr-2017,NK,B,25.4099,-80.2989,25.4099,-80.2989,8,,401677370,-129
Green,162055,Mk10,DS,1,0,0,,,00:29:32 14-Apr-2017,NN,B,25.4096,-80.2985,25.4096,-80.2985,6,,401677371,-130
Green,162055,Mk10,DS,2,0,0,44,44,02:17:00 14-Apr-2017,MA,B,25.4093,-80.2990,25.4093,-80.2990,8,,401677373,-120
Green,162055,Mk10,DS,1,0,1,,,03:50:14 14-Apr-2017,MA,B,25.4104,-80.3003,25.4104,-80.3003,8,,401677374,-129
Green,162055,Mk10,DS,2,0,1,44,44,07:39:51 14-Apr-2017,NP,B,25.4063,-80.3020,25.4063,-80.3020,8,,401677377,-127
Green,162055,Mk10,DS,1,0,0,,,09:25:57 14-Apr-2017,NP,B,25.4055,-80.3022,25.4055,-80.3022,8,,401677379,-125
Green,162055,Mk10,DS,1,0,0,,,12:34:46 14-Apr-2017,NK,B,25.4081,-80.3009,25.4081,-80.3009,8,,401677377,-125
Green,162055,Mk10,DS,2,0,1,45,45,12:51:05 14-Apr-2017,NN,B,25.4081,-80.3011,25.4081,-80.3011,6,,401677378,-126
Green,162055,Mk10,DS,1,0,0,,,14:43:17 14-Apr-2017,MA,B,25.4088,-80.3015,25.4088,-80.3015,8,,401677375,-121
Green,162055,Mk10,DS,1,0,1,,,15:33:26 14-Apr-2017,MB,B,25.4088,-80.3014,25.4088,-80.3014,8,,401677375,-130
Green,162055,Mk10,DS,2,0,2,282,282,16:19:40 14-Apr-2017,MA,B,25.4086,-80.3013,25.4086,-80.3013,8,,401677372,-123
Green,162055,Mk10,DS,1,0,1,,,19:00:53 14-Apr-2017,NP,B,25.4061,-80.3027,25.4061,-80.3027,8,,401677368,-130
Green,162055,Mk10,DS,2,0,2,198,198,20:39:40 14-Apr-2017,NP,B,25.4061,-80.3008,25.4061,-80.3008,8,,401677370,-125
Green,162055,Mk10,DS,2,0,0,111,111,22:33:53 14-Apr-2017,NN,B,25.4096,-80.3001,25.4096,-80.3001,8,,401677370,-131
Green,162055,Mk10,DS,2,0,2,49,49,23:11:37 14-Apr-2017,SR,B,25.4137,-80.2941,25.4137,-80.2941,8,,401677374,-122
Green,162055,Mk10,DS,2,0,0,44,44,23:44:58 14-Apr-2017,NK,B,25.4165,-80.2931,25.4165,-80.2931,8,,401677371,-125
Green,162055,Mk10,DS,1,0,0,,,00:55:15 15-Apr-2017,SR,B,25.4182,-80.2895,25.4182,-80.2895,8,,401677377,-132
Green,162055,Mk10,DS,2,0,1,99,99,01:54:23 15-Apr-2017,MA,B,25.4125,-80.2880,25.4125,-80.2880,8,,401677375,-116
Green,162055,Mk10,DS,1,0,0,,,02:51:46 15-Apr-2017,MB,B,25.4128,-80.2868,25.4128,-80.2868,8,,401677374,-131
Green,162055,Mk10,DS,1,0,0,,,03:28:05 15-Apr-2017,MA,B,25.4131,-80.2879,25.4131,-80.2879,8,,401677377,-129
Green,162055,Mk10,DS,1,0,0,,,10:23:25 15-Apr-2017,SR,B,25.4221,-80.2769,25.4221,-80.2769,8,,401677378,-122
Green,162055,Mk10,DS,2,0,2,179,179,11:59:05 15-Apr-2017,SR,B,25.4131,-80.2794,25.4131,-80.2794,8,,401677383,-131
Green,162055,Mk10,DS,2,0,2,405,405,12:41:15 15-Apr-2017,NN,B,25.4051,-80.2981,25.4051,-80.2981,8,,401677378,-128
Green,162055,Mk10,DS,2,0,2,161,161,14:20:27 15-Apr-2017,MA,B,25.4048,-80.3079,25.4048,-80.3079,8,,401677374,-119
Green,162055,Mk10,DS,2,0,1,44,44,15:11:41 15-Apr-2017,MB,B,25.4050,-80.3085,25.4050,-80.3085,8,,401677370,-122
Green,162055,Mk10,DS,1,0,0,,,16:00:08 15-Apr-2017,MA,B,25.4029,-80.3103,25.4029,-80.3103,8,,401677372,-133
Green,162055,Mk10,DS,1,0,1,,,18:49:08 15-Apr-2017,NP,B,25.3954,-80.3196,25.3954,-80.3196,8,,401677369,-133
Green,162055,Mk10,DS,2,0,2,238,238,20:28:55 15-Apr-2017,NP,B,25.4048,-80.2944,25.4048,-80.2944,8,,401677373,-124
Green,162055,Mk10,DS,3,0,2,112,79,21:39:50 15-Apr-2017,NK,A,25.4086,-80.2965,25.4086,-80.2965,8,,401677368,-133
Green,162055,Mk10,DS,3,0,3,119,48,22:17:59 15-Apr-2017,NN,A,25.4033,-80.2993,25.4033,-80.2993,8,,401677370,-135
Green,162055,Mk10,DS,2,0,0,389,389,22:39:14 15-Apr-2017,SR,B,25.4027,-80.2965,25.4027,-80.2965,6,,401677371,-130
Green,162055,Mk10,DS,4,0,1,226,75,23:19:16 15-Apr-2017,NK,1,25.4100,-80.2989,25.4100,-80.2989,58,,401677373,-130
Green,162055,Mk10,DS,1,0,1,,,23:56:43 15-Apr-2017,NN,B,25.4111,-80.3005,25.4111,-80.3005,8,,401677373,-125
Green,162055,Mk10,DS,1,0,1,,,00:25:46 16-Apr-2017,SR,B,25.4102,-80.2996,25.4102,-80.2996,6,,401677375,-133
Green,162055,Mk10,DS,1,0,0,,,01:28:42 16-Apr-2017,MA,B,25.4122,-80.3027,25.4122,-80.3027,8,,401677375,-130
Green,162055,Mk10,DS,1,0,1,,,02:21:31 16-Apr-2017,MB,B,25.4126,-80.3037,25.4126,-80.3037,8,,401677377,-130
Green,162055,Mk10,DS,2,0,1,44,44,09:05:32 16-Apr-2017,NP,B,25.3926,-80.2984,25.3926,-80.2984,8,,401677380,-132
Green,162055,Mk10,DS,1,0,0,,,10:48:18 16-Apr-2017,NN,B,25.3972,-80.3100,25.3972,-80.3100,8,,401677378,-137
Green,162055,Mk10,DS,1,0,0,,,11:25:23 16-Apr-2017,SR,B,25.3986,-80.3104,25.3986,-80.3104,8,,401677380,-136
Green,162055,Mk10,DS,3,0,2,148,129,11:47:41 16-Apr-2017,NK,A,25.4125,-80.3054,25.4125,-80.3054,6,,401677381,-123
Green,162055,Mk10,DS,2,0,2,693,693,12:25:33 16-Apr-2017,NN,B,25.4087,-80.2825,25.4087,-80.2825,8,,401677381,-133
Green,162055,Mk10,DS,1,0,1,,,13:25:13 16-Apr-2017,NK,B,25.4079,-80.2773,25.4079,-80.2773,8,,401677384,-137
Green,162055,Mk10,DS,1,0,1,,,14:47:36 16-Apr-2017,MB,B,25.4073,-80.2726,25.4073,-80.2726,8,,401677377,-131
Green,162055,Mk10,DS,4,0,2,225,45,15:38:24 16-Apr-2017,MA,3,25.4071,-80.2987,25.4071,-80.2987,58,,401677378,-127
Green,162055,Mk10,DS,1,0,1,,,18:39:32 16-Apr-2017,NP,B,25.4033,-80.3076,25.4033,-80.3076,8,,401677374,-136
Green,162055,Mk10,DS,1,0,1,,,20:14:30 16-Apr-2017,NP,B,25.4027,-80.3107,25.4027,-80.3107,8,,401677371,-124
Green,162055,Mk10,DS,2,0,2,289,289,22:58:33 16-Apr-2017,NK,B,25.4032,-80.3085,25.4032,-80.3085,8,,401677372,-124
Green,162055,Mk10,DS,2,0,0,444,444,23:45:09 16-Apr-2017,SR,B,25.4075,-80.3172,25.4075,-80.3172,,,401677375,-135
Green,162055,Mk10,DS,2,0,0,444,444,23:45:09 16-Apr-2017,NN,B,25.3994,-80.3181,25.3994,-80.3181,8,,401677376,-129
Green,162055,Mk10,DS,1,0,0,,,01:11:08 17-Apr-2017,MA,B,25.4055,-80.3236,25.4055,-80.3236,8,,401677374,-131
Green,162055,Mk10,DS,1,0,1,,,02:09:07 17-Apr-2017,MB,B,25.4053,-80.3245,25.4053,-80.3245,8,,401677373,-133
Green,162055,Mk10,DS,1,0,0,,,07:04:38 17-Apr-2017,NP,B,25.3917,-80.3388,25.3917,-80.3388,8,,401677379,-137
Green,162055,Mk10,DS,1,0,0,,,08:52:08 17-Apr-2017,NP,B,25.3914,-80.3347,25.3914,-80.3347,8,,401677378,-129
Green,162055,Mk10,DS,1,0,0,,,10:26:04 17-Apr-2017,NP,B,25.3987,-80.3231,25.3987,-80.3231,8,,401677372,-135
Green,162055,Mk10,DS,1,0,1,,,10:40:40 17-Apr-2017,NN,B,25.3988,-80.3195,25.3988,-80.3195,6,,401677376,-140
Green,162055,Mk10,DS,2,0,2,43,43,10:59:01 17-Apr-2017,SR,B,25.4028,-80.3038,25.4028,-80.3038,6,,401677386,-120
Green,162055,Mk10,DS,1,0,0,,,11:17:58 17-Apr-2017,NK,B,25.4039,-80.3019,25.4039,-80.3019,6,,401677380,-124
Green,162055,Mk10,DS,1,0,1,,,12:16:04 17-Apr-2017,NN,B,25.4037,-80.3029,25.4037,-80.3029,8,,401677380,-128
Green,162055,Mk10,DS,1,0,1,,,13:38:56 17-Apr-2017,MA,B,25.4054,-80.3008,25.4054,-80.3008,8,,401677377,-130
Green,162055,Mk10,DS,1,0,0,,,13:56:23 17-Apr-2017,NN,B,25.4055,-80.3000,25.4055,-80.3000,6,,401677377,-130
Green,162055,Mk10,DS,2,0,1,44,44,14:28:33 17-Apr-2017,MB,B,25.4064,-80.2989,25.4064,-80.2989,8,,401677378,-131
Green,162055,Mk10,DS,1,0,0,,,15:22:31 17-Apr-2017,MA,B,25.4071,-80.2994,25.4071,-80.2994,8,,401677379,-125
Green,162055,Mk10,DS,3,0,0,200,181,22:28:32 17-Apr-2017,NK,A,25.4072,-80.3017,25.4072,-80.3017,8,,401677372,-133
Green,162055,Mk10,DS,2,0,0,313,313,23:17:22 17-Apr-2017,SR,B,25.4073,-80.2977,25.4073,-80.2977,8,,401677373,-124
Green,162055,Mk10,DS,1,0,0,,,23:37:46 17-Apr-2017,NN,B,25.4083,-80.2978,25.4083,-80.2978,6,,401677374,-123
