DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
Green,162055,,Transmission,Mk10,1,00:01:30 02-Apr-2017,00:09:20 02-Apr-2017,Dive,1,Square,3.0,3.0,469,471,,
Green,162055,,Transmission,Mk10,1,00:09:20 02-Apr-2017,00:09:40 02-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,00:09:40 02-Apr-2017,00:17:30 02-Apr-2017,Dive,1,Square,3.0,3.0,469,471,,
Green,162055,,Transmission,Mk10,1,00:17:30 02-Apr-2017,00:17:40 02-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,00:17:40 02-Apr-2017,00:26:00 02-Apr-2017,Dive,1,Square,3.0,3.0,499,501,,
Green,162055,,Transmission,Mk10,1,00:26:00 02-Apr-2017,00:26:10 02-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,00:26:10 02-Apr-2017,00:35:40 02-Apr-2017,Dive,1,Square,3.0,3.0,569,571,,
Green,162055,,Transmission,Mk10,1,00:35:40 02-Apr-2017,00:36:00 02-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,00:36:00 02-Apr-2017,00:48:30 02-Apr-2017,Dive,1,Square,3.5,3.5,749,751,,
Green,162055,,Transmission,Mk10,2,01:39:00 02-Apr-2017,02:24:40 02-Apr-2017,Message,10,,,,2730.000000,2750.000000,,
Green,162055,,Transmission,Mk10,2,01:39:00 02-Apr-2017,01:39:20 02-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,2,01:39:20 02-Apr-2017,01:55:40 02-Apr-2017,Dive,1,Square,3.5,3.5,979,981,,
Green,162055,,Transmission,Mk10,2,01:55:40 02-Apr-2017,01:56:00 02-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,2,01:56:00 02-Apr-2017,02:02:30 02-Apr-2017,Dive,1,Square,3.5,3.5,389,391,,
Green,162055,,Transmission,Mk10,2,02:02:30 02-Apr-2017,02:02:40 02-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,2,02:02:40 02-Apr-2017,02:11:30 02-Apr-2017,Dive,1,Square,3.0,3.0,529,531,,
Green,162055,,Transmission,Mk10,2,02:11:30 02-Apr-2017,02:11:40 02-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,2,02:11:40 02-Apr-2017,02:18:20 02-Apr-2017,Dive,1,Square,3.0,3.0,399,401,,
Green,162055,,Transmission,Mk10,2,02:18:20 02-Apr-2017,02:18:40 02-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,2,02:18:40 02-Apr-2017,02:24:40 02-Apr-2017,Dive,1,Square,3.0,3.0,359,361,,
Green,162055,,Transmission,Mk10,1,01:25:00 03-Apr-2017,02:13:10 03-Apr-2017,Message,10,,,,2880.000000,2900.000000,,
Green,162055,,Transmission,Mk10,1,01:25:00 03-Apr-2017,01:31:50 03-Apr-2017,Dive,1,Square,3.5,3.5,409,411,,
Green,162055,,Transmission,Mk10,1,01:31:50 03-Apr-2017,01:32:00 03-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,01:32:00 03-Apr-2017,01:41:00 03-Apr-2017,Dive,1,Square,3.5,3.5,539,541,,
Green,162055,,Transmission,Mk10,1,01:41:00 03-Apr-2017,01:41:30 03-Apr-2017,Surface,,,,,29,31,20,10
Green,162055,,Transmission,Mk10,1,01:41:30 03-Apr-2017,01:51:00 03-Apr-2017,Dive,1,Square,3.5,3.5,569,571,,
Green,162055,,Transmission,Mk10,1,01:51:00 03-Apr-2017,01:51:20 03-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,01:51:20 03-Apr-2017,01:57:50 03-Apr-2017,Dive,1,Square,3.5,3.5,389,391,,
Green,162055,,Transmission,Mk10,1,01:57:50 03-Apr-2017,01:58:00 03-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,01:58:00 03-Apr-2017,02:12:40 03-Apr-2017,Dive,1,Square,3.0,3.0,879,881,,
