DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
Green,162055,,Transmission,Mk10,2,16:00:00 08-Feb-2017,00:00:00 09-Feb-2017,,,,0.0,0.00,3.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,2,08:00:00 13-Feb-2017,16:00:00 13-Feb-2017,,,,0.5,0.00,3.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 14-Feb-2017,00:00:00 15-Feb-2017,,,,0.0,0.00,3.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 18-Feb-2017,08:00:00 18-Feb-2017,,,,0.5,0.00,3.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,3,16:00:00 19-Feb-2017,00:00:00 20-Feb-2017,,,,0.5,0.00,3.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 20-Feb-2017,08:00:00 20-Feb-2017,,,,0.0,0.00,3.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 27-Feb-2017,00:00:00 28-Feb-2017,,,,0.5,0.00,3.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 04-Mar-2017,08:00:00 04-Mar-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 06-Mar-2017,16:00:00 06-Mar-2017,,,,1.0,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 09-Mar-2017,08:00:00 09-Mar-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 09-Mar-2017,00:00:00 10-Mar-2017,,,,0.5,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 14-Mar-2017,00:00:00 15-Mar-2017,,,,0.5,0.00,3.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 17-Mar-2017,00:00:00 18-Mar-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 19-Mar-2017,16:00:00 19-Mar-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 21-Mar-2017,16:00:00 21-Mar-2017,,,,0.5,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 23-Mar-2017,08:00:00 23-Mar-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 26-Mar-2017,00:00:00 27-Mar-2017,,,,1.0,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,2,00:00:00 27-Mar-2017,08:00:00 27-Mar-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 28-Mar-2017,16:00:00 28-Mar-2017,,,,0.5,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 29-Mar-2017,00:00:00 30-Mar-2017,,,,1.0,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 30-Mar-2017,16:00:00 30-Mar-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 01-Apr-2017,00:00:00 02-Apr-2017,,,,1.0,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 08-Apr-2017,00:00:00 09-Apr-2017,,,,0.5,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 11-Apr-2017,16:00:00 11-Apr-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 11-Apr-2017,00:00:00 12-Apr-2017,,,,0.5,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 13-Apr-2017,16:00:00 13-Apr-2017,,,,0.5,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 21-Apr-2017,08:00:00 21-Apr-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,2,08:00:00 21-Apr-2017,16:00:00 21-Apr-2017,,,,0.5,0.00,5.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 23-Apr-2017,16:00:00 23-Apr-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 27-Apr-2017,08:00:00 27-Apr-2017,,,,1.0,0.00,5.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 30-Apr-2017,16:00:00 30-Apr-2017,,,,1.0,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 04-May-2017,16:00:00 04-May-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,16:00:00 07-May-2017,00:00:00 08-May-2017,,,,1.0,0.00,4.0,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 11-May-2017,08:00:00 11-May-2017,,,,1.0,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 12-May-2017,08:00:00 12-May-2017,,,,1.0,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,08:00:00 17-May-2017,16:00:00 17-May-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
Green,162055,,Transmission,Mk10,1,00:00:00 18-May-2017,08:00:00 18-May-2017,,,,0.5,0.00,4.5,0.00,,,,,,,
