DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature
Green,162055,,Mk10,,,03:03:39 26-Apr-2017,,B,25.4097,-80.3042,,0,0,,15080,3.568,1.016,0.196,26.10,-11.0,-26.0,0,,,,,,,,,,,130,85,86,52,64516,,,,,,,,,,,,,
Green,162055,,Mk10,,,10:50:25 26-Apr-2017,,B,25.4125,-80.3006,CRC,0,0,,15144,3.568,1.016,0.160,25.40,1.5,4.0,0,,,,,,,,,,,164,16,255,61,16,,,,,,,1159,529,,,,,
Green,162055,,Mk10,,08:11:25 29-Apr-2017,08:11:37 29-Apr-2017,12,B,25.4082,-80.3039,CRC,0,0,,,,1.016,0.164,,1.0,4.0,0,,,,,,,,,,,84,16,205,60,16,,,,,,,1204,565,,,,,
Green,162055,,Mk10,,,21:14:41 29-Apr-2017,,3,25.4046,-80.2967,,0,0,,16040,3.568,1.280,0.184,28.70,58.5,1900.0,-17,,,,,,,,,,,,45,236,208,15095,,,,,,,,,,,,,
Green,162055,,Mk10,,,03:20:48 05-May-2017,,B,25.4132,-80.2969,CRC,0,0,,17192,3.568,1.016,0.256,29.10,1.5,4.0,0,,,,,,,,,,,117,16,252,62,16,,,,,,,1282,623,,,,,
Green,162055,,Mk10,,01:03:13 07-May-2017,01:03:25 07-May-2017,12,B,25.4000,-80.2866,CRC,0,0,,,,1.024,0.156,,1.5,4.0,0,,,,,,,,,,,131,16,208,53,16,,,,,,,1306,640,,,,,
Green,162055,,Mk10,,11:34:39 08-May-2017,11:34:51 08-May-2017,12,B,25.4056,-80.2986,CRC,0,0,,,,1.016,0.272,,1.5,4.0,0,,,,,,,,,,,69,16,242,76,16,,,,,,,1319,648,,,,,
Green,162055,,Mk10,,,11:43:53 10-May-2017,,B,25.4130,-80.2905,CRC,0,0,,18408,3.568,1.016,0.192,26.80,1.5,4.0,0,,,,,,,,,,,66,16,255,65,16,,,,,,,1340,662,,,,,
Green,162055,,Mk10,,13:57:50 10-May-2017,13:58:02 10-May-2017,12,B,25.4088,-80.2834,CRC,0,0,,,,1.024,0.224,,1.0,4.0,0,,,,,,,,,,,74,16,255,65,16,,,,,,,1340,662,,,,,
Green,162055,,Mk10,,,11:50:26 11-May-2017,,2,25.4086,-80.2952,CRC,0,0,,18600,3.568,1.016,0.208,27.80,1.0,4.0,0,,,,,,,,,,,96,16,255,66,16,,,,,,,1354,673,,,,,
Green,162055,,Mk10,,,12:32:58 12-May-2017,,0,25.4078,-80.2855,CRC,0,0,,18792,3.568,1.016,0.212,28.30,1.0,4.0,0,,,,,,,,,,,105,16,255,73,16,,,,,,,1367,683,,,,,
Green,162055,,Mk10,,,14:47:03 15-May-2017,,B,25.4046,-80.2972,CRC,0,0,,19560,3.568,1.016,0.192,27.10,1.5,4.0,0,,,,,,,,,,,74,16,198,61,16,,,,,,,1399,703,,,,,
Green,162055,,Mk10,,,23:53:29 20-May-2017,,A,25.4036,-80.3181,CRC,0,0,,21224,3.568,1.016,0.168,29.40,2.0,4.0,0,,,,,,,,,,,101,16,190,50,16,,,,,,,1484,770,,,,,
Green,162055,,Mk10,,,12:30:23 21-May-2017,,0,25.4068,-80.2846,,0,0,,21352,3.568,1.016,0.180,28.00,59.5,4.0,0,,,,,,,,,,,,16,161,60,34575,,,,,,,,,,,,,
