DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange,Activity,ARange
Green,162055,,Transmission,Mk10,08-Feb-2017,16:20:00,,,,2.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,16:30:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,16:40:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,16:50:00,,,,2.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,17:00:00,,,,2.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,17:10:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,17:20:00,,,,2.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,17:30:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,17:40:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,17:50:00,,,,2.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,18:00:00,,,,2.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,18:10:00,,,,1.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,18:20:00,,,,2.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,18:30:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,18:40:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,18:50:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,19:00:00,,,,2.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,19:10:00,,,,2.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,19:20:00,,,,1.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,19:30:00,,,,2.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,19:40:00,,,,2.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,19:50:00,,,,2.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,20:00:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,20:10:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,20:20:00,,,,2.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,20:30:00,,,,1.5,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,20:40:00,,,,2.0,0.50,,,,
Green,162055,,Transmission,Mk10,08-Feb-2017,20:50:00,,,,1.5,0.50,,,,
