DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
161641,161641,UT,10:12:42 24-Nov-2016,,,B,-25.4741,-48.4697,CRC 2.14,10:12:42 24-Nov-2016,Status,34,252,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,13:32:24 24-Nov-2016,,,B,-25.4749,-48.4601,CRC 42.223,19:17:49 30-Nov-2016,Status,69,80,90,11,206,163,27,113,31,77,28,98,201,125,78,51,199,17,92,141,192,1,184,,,,,,,,,
161641,161641,UT,20:35:56 24-Nov-2016,,,B,-25.4848,-48.4436,CRC 43.89,20:35:56 24-Nov-2016,Status,69,112,90,11,232,155,150,11,208,87,176,85,85,78,109,84,7,9,197,241,116,140,157,,,,,,,,,
161641,161641,UT,10:00:54 25-Nov-2016,,,B,-25.4712,-48.4416,CRC 10.8,10:00:54 25-Nov-2016,Status,10,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,10:00:54 25-Nov-2016,,,B,-25.4830,-48.4518,CRC 10.6,10:00:54 25-Nov-2016,Status,10,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,21:07:55 25-Nov-2016,,,B,-25.4736,-48.4429,CRC 12.0,21:07:55 25-Nov-2016,Status,44,17,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,23:55:58 25-Nov-2016,,,B,-25.4758,-48.4440,CRC 162.46,23:56:57 25-Nov-2016,Status,84,80,90,11,232,155,18,124,44,223,142,68,146,224,67,20,1,216,34,208,0,0,0,,,,,,,,,
161641,161641,UT,12:51:31 26-Nov-2016,,,B,-25.4636,-48.4630,CRC 65.201,12:51:31 26-Nov-2016,Status,72,48,90,11,232,155,18,108,45,51,215,131,19,31,16,243,254,71,254,95,255,255,252,,,,,,,,,
161641,161641,UT,09:42:12 27-Nov-2016,,,A,-25.4817,-48.4298,CRC 14.1,09:43:12 27-Nov-2016,Status,65,208,90,11,232,147,18,124,45,166,179,3,84,98,135,10,1,154,33,212,80,0,87,,,,,,,,,
161641,161641,UT,18:08:40 27-Nov-2016,,,B,-25.4903,-48.4248,CRC 165.212,18:09:40 27-Nov-2016,Status,84,176,90,11,232,155,18,124,45,200,154,3,225,218,26,32,23,195,11,57,31,159,25,,,,,,,,,
161641,161641,UT,20:11:32 27-Nov-2016,,,B,-25.4878,-48.4327,CRC 6.5,20:11:32 27-Nov-2016,Status,70,30,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,19:37:22 28-Nov-2016,,,B,-25.4685,-48.4281,CRC 104.236,19:38:23 28-Nov-2016,Status,77,16,90,11,232,155,18,124,46,78,101,195,84,101,179,140,1,243,152,13,25,227,154,,,,,,,,,
161641,161641,UT,09:12:33 29-Nov-2016,,,0,-25.4743,-48.4557,CRC 220.2,05:46:10 15-Nov-2016,Status,91,144,90,11,232,155,54,73,231,150,226,173,200,145,176,85,168,30,184,158,247,144,133,,,,,,,,,
161641,161641,UT,09:14:35 29-Nov-2016,,,0,-25.4743,-48.4557,CRC 30.14,,,32,47,128,0,0,0,29,63,216,178,178,83,232,118,46,14,164,214,124,,,,,,,,,,,,,
161641,161641,UT,10:56:58 29-Nov-2016,,,B,-25.4744,-48.4564,CRC 10.9,10:56:58 29-Nov-2016,Status,10,64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,00:10:39 30-Nov-2016,,,B,-25.4811,-48.4551,CRC 123.231,,,32,47,160,0,0,0,0,0,0,0,255,2,31,129,3,231,240,112,1,,,,,,,,,,,,,
161641,161641,UT,08:56:06 30-Nov-2016,,,1,-25.4790,-48.4394,CRC 119.144,08:57:09 30-Nov-2016,Status,78,240,90,11,232,155,18,124,47,35,146,67,212,104,149,12,3,101,33,208,32,0,33,,,,,,,,,
161641,161641,UT,10:41:58 30-Nov-2016,,,B,-25.4785,-48.4352,CRC 255.205,10:43:04 30-Nov-2016,Status,95,240,90,11,232,147,50,124,47,42,177,4,220,106,207,14,64,43,132,22,246,221,128,,,,,,,,,
161641,161641,UT,21:58:22 30-Nov-2016,,,A,-25.4823,-48.4341,CRC 201.238,21:58:22 30-Nov-2016,Status,89,48,90,11,232,155,19,124,47,211,164,127,107,153,239,30,28,29,102,244,20,87,193,,,,,,,,,
161641,161641,UT,23:18:58 30-Nov-2016,,,B,-25.4826,-48.4387,CRC 252.162,23:20:01 30-Nov-2016,Status,95,146,90,10,232,155,18,124,47,93,64,68,18,105,253,16,1,153,33,208,2,0,0,,,,,,,,,
161641,161641,UT,20:57:16 01-Dec-2016,,,B,-25.4793,-48.4265,CRC 215.198,20:57:16 01-Dec-2016,Status,90,240,90,11,232,139,20,84,96,93,33,160,178,171,121,16,1,193,33,208,32,129,0,,,,,,,,,
161641,161641,UT,04:42:14 02-Dec-2016,,,A,-25.4743,-48.4520,CRC 95.247,01:54:56 21-Dec-2016,Status,75,224,191,79,39,130,177,127,191,236,41,7,171,168,118,224,40,42,60,156,96,252,15,,,,,,,,,
161641,161641,UT,08:06:11 02-Dec-2016,,,B,-25.4798,-48.4429,CRC 107.174,08:06:11 02-Dec-2016,Status,77,120,90,11,224,155,22,124,1,44,116,4,123,132,35,16,3,176,51,108,140,124,151,,,,,,,,,
161641,161641,UT,08:06:11 02-Dec-2016,,,B,-25.4707,-48.4536,CRC 123.77,22:25:34 28-Nov-2016,Status,79,112,74,11,105,27,35,72,174,89,152,130,34,164,230,87,0,109,73,142,62,141,220,,,,,,,,,
161641,161641,UT,12:01:46 03-Dec-2016,,,B,-25.4784,-48.4411,CRC 52.124,09:05:09 03-Dec-2016,Status,70,144,90,11,232,155,18,124,33,164,82,65,157,101,189,51,196,148,243,86,120,95,88,,,,,,,,,
161641,161641,UT,18:28:11 04-Dec-2016,,,B,-25.4832,-48.4303,CRC 10.14,18:28:11 04-Dec-2016,Status,74,11,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,13:03:11 05-Dec-2016,,,B,-25.4777,-48.4388,CRC 9.11,13:03:11 05-Dec-2016,Status,73,4,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,22:10:37 06-Dec-2016,,,,,,CRC 2.10,22:10:37 06-Dec-2016,Status,18,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,23:43:16 06-Dec-2016,,,,,,CRC 44.11,23:44:25 06-Dec-2016,Status,69,144,90,11,232,155,2,124,35,94,198,65,84,116,177,16,1,169,107,93,108,223,127,,,,,,,,,
161641,161641,UT,21:20:56 08-Dec-2016,,,,,,CRC 35.252,05:18:08 10-Dec-2016,Status,68,112,90,11,238,153,0,120,37,21,34,53,2,94,63,150,208,47,75,72,244,159,0,,,,,,,,,
161641,161641,UT,05:04:50 09-Dec-2016,,,,,,CRC 54.128,04:46:34 01-Dec-2016,Status,70,208,27,3,80,42,70,196,224,146,232,134,196,122,109,30,14,107,73,219,31,254,121,,,,,,,,,
161641,161641,UT,13:21:18 09-Dec-2016,,,,,,CRC 11.3,13:21:18 09-Dec-2016,Status,91,17,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,20:58:58 09-Dec-2016,,,,,,CRC 46.252,21:08:11 09-Dec-2016,Status,69,208,90,11,232,155,18,124,36,212,130,196,82,90,31,12,1,73,32,208,192,0,0,,,,,,,,,
161641,161641,UT,09:31:48 12-Dec-2016,,,B,-25.4963,-48.4594,CRC 2.10,09:31:48 12-Dec-2016,Status,2,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,12:50:05 13-Dec-2016,,,B,-25.4675,-48.5951,CRC 10.15,12:50:05 13-Dec-2016,Status,10,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,17:56:22 16-Dec-2016,,,B,-25.4692,-48.4566,CRC 166.70,01:45:11 16-Dec-2016,Status,84,208,90,11,232,155,18,124,40,6,210,226,244,119,28,106,137,74,234,102,21,236,199,,,,,,,,,
161641,161641,UT,21:25:08 18-Dec-2016,,,,,,CRC 151.116,21:25:08 18-Dec-2016,Status,82,240,90,11,232,155,18,124,41,81,239,182,188,51,216,228,72,52,206,217,202,223,57,,,,,,,,,
161641,161641,UT,00:52:15 22-Dec-2016,,,,,,CRC 194.216,07:09:38 17-Jan-2017,Status,88,68,168,158,191,51,31,157,13,21,143,175,242,137,201,155,186,249,61,138,129,110,223,,,,,,,,,
161641,161641,UT,11:39:29 07-Jan-2017,,,,,,CRC 185.67,09:00:49 09-Jan-2017,Status,87,48,90,11,220,147,81,66,116,164,12,82,85,190,67,173,189,10,232,3,97,55,204,,,,,,,,,
161641,161641,UT,17:23:22 14-Jan-2017,,,,,,CRC 42.69,17:25:08 14-Jan-2017,Status,69,80,122,11,232,155,18,124,103,69,146,3,146,177,172,55,88,53,116,206,154,81,230,,,,,,,,,
161641,161641,UT,00:39:55 16-Jan-2017,,,,,,CRC 10.7,00:39:55 16-Jan-2017,Status,74,108,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
