DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature
Luquinha,205538,,Mk10,,,00:00:12 25-Nov-2020,,A,-3.8489,-32.4315,CRC,1,0,,420,3.504,0.992,0.168,26.40,1.0,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,32,2,,,,,
Luquinha,205538,,Mk10,,,19:40:22 04-Dec-2020,,B,-3.8573,-32.4402,CRC,0,0,,1345,3.440,1.000,0.144,28.30,1.5,22.0,-2,,,,,,,,,,,167,21,255,80,16,,,,,,,112,41,,,,,
Luquinha,205538,,Mk10,,,08:34:03 07-Dec-2020,,B,-3.8481,-32.4344,CRC,0,0,,2049,3.440,0.976,0.180,27.50,1.5,18.0,-3,,,,,,,,,,,96,18,255,77,16,,,,,,,213,111,,,,,
Luquinha,205538,,Mk10,,13:11:13 09-Dec-2020,11:11:15 09-Dec-2020,-7197,2,-3.8495,-32.4389,CRC,0,0,,,,0.992,0.144,,2.0,20.0,-3,,,,,,,,,,,254,18,255,77,16,,,,,,,281,149,,,,,
Luquinha,205538,,Mk10,,,12:11:32 09-Dec-2020,,1,-3.8437,-32.4379,CRC,0,0,,2625,3.440,0.992,0.180,27.60,2.0,20.0,-3,,,,,,,,,,,255,18,255,77,16,,,,,,,283,150,,,,,
Luquinha,205538,,Mk10,,,10:38:42 10-Dec-2020,,0,-3.8422,-32.4367,CRC,0,0,,2945,3.440,0.992,0.148,27.50,1.5,14.0,-3,,,,,,,,,,,115,17,255,77,16,,,,,,,312,165,,,,,
Luquinha,205538,,Mk10,,21:17:03 10-Dec-2020,19:17:05 10-Dec-2020,-7197,1,-3.8530,-32.4433,CRC,0,0,,,,0.992,0.216,,1.5,14.0,-4,,,,,,,,,,,137,17,255,77,16,,,,,,,325,171,,,,,
Luquinha,205538,,Mk10,,10:18:10 12-Dec-2020,08:18:12 12-Dec-2020,-7197,A,-3.8407,-32.4298,CRC,0,0,,,,1.000,0.152,,1.5,20.0,-3,,,,,,,,,,,255,17,255,77,16,,,,,,,374,200,,,,,
Luquinha,205538,,Mk10,,12:40:32 14-Dec-2020,10:40:35 14-Dec-2020,-7196,B,-3.8506,-32.4431,CRC,0,0,,,,0.992,0.148,,1.5,22.0,-4,,,,,,,,,,,226,17,255,77,16,,,,,,,440,237,,,,,
Luquinha,205538,,Mk10,,12:20:37 15-Dec-2020,10:20:40 15-Dec-2020,-7196,1,-3.8482,-32.4366,CRC,0,0,,,,0.992,0.136,,2.0,14.0,-3,,,,,,,,,,,223,17,255,77,16,,,,,,,470,249,,,,,
Luquinha,205538,,Mk10,,,20:50:52 15-Dec-2020,,2,-3.8462,-32.4348,CRC,0,0,,4545,3.440,1.000,0.192,27.60,1.5,14.0,-3,,,,,,,,,,,255,17,255,77,16,,,,,,,482,253,,,,,
Luquinha,205538,,Mk10,,22:48:23 16-Dec-2020,20:48:26 16-Dec-2020,-7196,B,-3.8539,-32.4439,CRC,0,0,,,,0.992,0.136,,2.0,18.0,-4,,,,,,,,,,,255,17,255,77,16,,,,,,,517,272,,,,,
Luquinha,205538,,Mk10,,11:20:04 17-Dec-2020,09:20:07 17-Dec-2020,-7196,1,-3.8475,-32.4375,CRC,0,0,,,,0.992,0.172,,1.5,14.0,-3,,,,,,,,,,,255,17,255,77,16,,,,,,,536,288,,,,,
Luquinha,205538,,Mk10,,,20:03:07 20-Dec-2020,,B,-3.8492,-32.4369,CRC,0,0,,5697,3.440,0.992,0.148,27.70,2.0,22.0,-4,,,,,,,,,,,206,17,255,77,16,,,,,,,642,350,,,,,
Luquinha,205538,,Mk10,,13:37:44 21-Dec-2020,11:37:47 21-Dec-2020,-7196,2,-3.8446,-32.4341,CRC,0,0,,,,0.992,0.144,,2.0,22.0,-3,,,,,,,,,,,142,16,255,77,16,,,,,,,657,355,,,,,
Luquinha,205538,,Mk10,,13:23:23 22-Dec-2020,11:23:25 22-Dec-2020,-7197,3,-3.8430,-32.4365,CRC,0,0,,,,0.992,0.152,,1.5,20.0,-4,,,,,,,,,,,232,16,255,77,16,,,,,,,691,376,,,,,
Luquinha,205538,,Mk10,,,09:09:13 23-Dec-2020,,A,-3.8274,-32.4382,CRC,0,0,,6337,3.440,0.992,0.156,27.40,1.5,20.0,-3,,,,,,,,,,,209,16,255,77,16,,,,,,,725,400,,,,,
