DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
Green,142706,,Transmission,Mk10,2,18:52:00 08-Feb-2017,20:16:30 08-Feb-2017,Message,10,,,,5060.000000,5080.000000,,
Green,142706,,Transmission,Mk10,2,18:52:00 08-Feb-2017,19:47:30 08-Feb-2017,Surface,,,,,3329,3331,3330,0
Green,142706,,Transmission,Mk10,2,19:47:30 08-Feb-2017,19:57:00 08-Feb-2017,Dive,1,Square,2.0,2.0,569,571,,
Green,142706,,Transmission,Mk10,2,19:57:00 08-Feb-2017,19:57:10 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,19:57:10 08-Feb-2017,20:05:00 08-Feb-2017,Dive,1,Square,2.0,2.0,469,471,,
Green,142706,,Transmission,Mk10,2,20:05:00 08-Feb-2017,20:05:10 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,20:05:10 08-Feb-2017,20:11:00 08-Feb-2017,Dive,1,Square,2.0,2.0,349,351,,
Green,142706,,Transmission,Mk10,2,20:11:00 08-Feb-2017,20:11:10 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,20:11:10 08-Feb-2017,20:14:40 08-Feb-2017,Dive,1,Square,1.5,1.5,209,211,,
Green,142706,,Transmission,Mk10,2,20:14:40 08-Feb-2017,20:14:50 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,20:14:50 08-Feb-2017,20:16:30 08-Feb-2017,Dive,1,Square,1.5,1.5,99,101,,
Green,142706,,Transmission,Mk10,6,20:16:00 08-Feb-2017,20:40:50 08-Feb-2017,Message,11,,,,1479.000000,1501.000000,,
Green,142706,,Transmission,Mk10,6,20:16:00 08-Feb-2017,20:16:10 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,6,20:16:10 08-Feb-2017,20:17:50 08-Feb-2017,Dive,1,U,2.0,2.0,99,101,,
Green,142706,,Transmission,Mk10,6,20:17:50 08-Feb-2017,20:18:00 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,6,20:18:00 08-Feb-2017,20:19:00 08-Feb-2017,Dive,1,Square,1.5,1.5,59,61,,
Green,142706,,Transmission,Mk10,6,20:19:00 08-Feb-2017,20:19:10 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,6,20:19:10 08-Feb-2017,20:26:10 08-Feb-2017,Dive,1,Square,2.0,2.0,419,421,,
Green,142706,,Transmission,Mk10,6,20:26:10 08-Feb-2017,20:26:20 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,6,20:26:20 08-Feb-2017,20:35:50 08-Feb-2017,Dive,1,Square,2.0,2.0,569,571,,
Green,142706,,Transmission,Mk10,6,20:35:50 08-Feb-2017,20:36:00 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,6,20:36:00 08-Feb-2017,20:40:40 08-Feb-2017,Dive,1,Square,2.0,2.0,279,281,,
Green,142706,,Transmission,Mk10,6,20:40:40 08-Feb-2017,20:40:50 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,4,20:41:00 08-Feb-2017,21:04:00 08-Feb-2017,Message,10,,,,1370.000000,1390.000000,,
Green,142706,,Transmission,Mk10,4,20:41:00 08-Feb-2017,20:43:30 08-Feb-2017,Dive,1,Square,2.0,2.0,149,151,,
Green,142706,,Transmission,Mk10,4,20:43:30 08-Feb-2017,20:43:40 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,4,20:43:40 08-Feb-2017,20:44:50 08-Feb-2017,Dive,1,Square,2.0,2.0,69,71,,
Green,142706,,Transmission,Mk10,4,20:44:50 08-Feb-2017,20:45:00 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,4,20:45:00 08-Feb-2017,20:53:30 08-Feb-2017,Dive,1,Square,2.0,2.0,509,511,,
Green,142706,,Transmission,Mk10,4,20:53:30 08-Feb-2017,20:53:40 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,4,20:53:40 08-Feb-2017,21:00:30 08-Feb-2017,Dive,1,Square,2.0,2.0,409,411,,
Green,142706,,Transmission,Mk10,4,21:00:30 08-Feb-2017,21:00:40 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,4,21:00:40 08-Feb-2017,21:03:40 08-Feb-2017,Dive,1,Square,2.0,2.0,179,181,,
Green,142706,,Transmission,Mk10,4,21:03:40 08-Feb-2017,21:04:00 08-Feb-2017,Surface,,,,,19,21,20,0
Green,142706,,Transmission,Mk10,2,21:40:00 08-Feb-2017,22:20:10 08-Feb-2017,Message,10,,,,2400.000000,2420.000000,,
Green,142706,,Transmission,Mk10,2,21:40:00 08-Feb-2017,21:42:10 08-Feb-2017,Dive,1,Square,1.5,1.5,129,131,,
Green,142706,,Transmission,Mk10,2,21:42:10 08-Feb-2017,21:42:20 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,21:42:20 08-Feb-2017,21:47:40 08-Feb-2017,Dive,1,Square,1.5,1.5,319,321,,
Green,142706,,Transmission,Mk10,2,21:47:40 08-Feb-2017,21:47:50 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,21:47:50 08-Feb-2017,22:11:00 08-Feb-2017,Dive,1,Square,2.0,2.0,1389,1391,,
Green,142706,,Transmission,Mk10,2,22:11:00 08-Feb-2017,22:11:40 08-Feb-2017,Surface,,,,,39,41,21,19
Green,142706,,Transmission,Mk10,2,22:11:40 08-Feb-2017,22:13:50 08-Feb-2017,Dive,1,Square,1.5,1.5,129,131,,
Green,142706,,Transmission,Mk10,2,22:13:50 08-Feb-2017,22:14:00 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,22:14:00 08-Feb-2017,22:20:00 08-Feb-2017,Dive,1,Square,2.0,2.0,359,361,,
Green,142706,,Transmission,Mk10,2,22:20:00 08-Feb-2017,22:20:10 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,22:20:00 08-Feb-2017,00:16:40 09-Feb-2017,Message,10,,,,6990.000000,7010.000000,,
Green,142706,,Transmission,Mk10,2,22:20:00 08-Feb-2017,22:49:10 08-Feb-2017,Dive,1,Square,2.0,2.0,1749,1751,,
Green,142706,,Transmission,Mk10,2,22:49:10 08-Feb-2017,22:49:20 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,22:49:20 08-Feb-2017,23:15:20 08-Feb-2017,Dive,1,Square,2.5,2.5,1559,1561,,
Green,142706,,Transmission,Mk10,2,23:15:20 08-Feb-2017,23:15:30 08-Feb-2017,Surface,,,,,9,11,10,0
Green,142706,,Transmission,Mk10,2,23:15:30 08-Feb-2017,23:26:50 08-Feb-2017,Dive,1,U,2.0,2.0,679,681,,
