DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
Green,142706,,Transmission,Mk10,2,16:00:00 08-Feb-2017,00:00:00 09-Feb-2017,,,,0.0,0.00,3.0,0.00,,,,,,,
Green,142706,,Transmission,Mk10,2,00:00:00 10-Feb-2017,08:00:00 10-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,00:00:00 12-Feb-2017,08:00:00 12-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,16:00:00 12-Feb-2017,00:00:00 13-Feb-2017,,,,0.0,0.00,3.0,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,00:00:00 13-Feb-2017,08:00:00 13-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,16:00:00 13-Feb-2017,00:00:00 14-Feb-2017,,,,0.0,0.00,3.0,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,16:00:00 14-Feb-2017,00:00:00 15-Feb-2017,,,,0.0,0.00,3.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,08:00:00 16-Feb-2017,16:00:00 16-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,00:00:00 17-Feb-2017,08:00:00 17-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,00:00:00 18-Feb-2017,08:00:00 18-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,08:00:00 18-Feb-2017,16:00:00 18-Feb-2017,,,,0.0,0.00,3.0,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,00:00:00 19-Feb-2017,08:00:00 19-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,08:00:00 19-Feb-2017,16:00:00 19-Feb-2017,,,,0.0,0.00,3.0,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,00:00:00 20-Feb-2017,08:00:00 20-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,08:00:00 20-Feb-2017,16:00:00 20-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,2,08:00:00 21-Feb-2017,16:00:00 21-Feb-2017,,,,0.0,0.00,2.5,0.00,,,,,,,
Green,142706,,Transmission,Mk10,1,16:00:00 21-Feb-2017,00:00:00 22-Feb-2017,,,,0.0,0.00,3.0,0.00,,,,,,,
