DeployID,Ptt,Instr,Count,Date,Disposition,Code
Julio Grande,195967,Mk10,14,06:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,07:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,08:00:00 27-Dec-2019,neither,2
Julio Grande,195967,Mk10,14,09:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,10:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,11:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,12:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,13:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,14:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,15:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,16:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,17:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,18:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,19:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,20:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,21:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,22:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,14,23:00:00 27-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,00:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,01:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,02:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,03:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,04:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,05:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,06:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,07:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,08:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,09:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,10:00:00 28-Dec-2019,neither,2
Julio Grande,195967,Mk10,20,11:00:00 28-Dec-2019,neither,2
Julio Grande,195967,Mk10,20,12:00:00 28-Dec-2019,neither,2
Julio Grande,195967,Mk10,20,13:00:00 28-Dec-2019,neither,2
Julio Grande,195967,Mk10,20,14:00:00 28-Dec-2019,neither,2
Julio Grande,195967,Mk10,20,15:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,16:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,17:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,18:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,19:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,20:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,21:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,22:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,23:00:00 28-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,00:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,01:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,02:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,03:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,04:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,05:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,06:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,07:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,08:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,09:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,10:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,11:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,12:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,13:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,14:00:00 29-Dec-2019,neither,2
Julio Grande,195967,Mk10,24,15:00:00 29-Dec-2019,neither,2
Julio Grande,195967,Mk10,24,16:00:00 29-Dec-2019,neither,2
Julio Grande,195967,Mk10,24,17:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,18:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,19:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,20:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,21:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,22:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,23:00:00 29-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,00:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,01:00:00 30-Dec-2019,neither,2
Julio Grande,195967,Mk10,30,02:00:00 30-Dec-2019,neither,2
Julio Grande,195967,Mk10,30,03:00:00 30-Dec-2019,neither,2
Julio Grande,195967,Mk10,30,04:00:00 30-Dec-2019,neither,2
Julio Grande,195967,Mk10,30,05:00:00 30-Dec-2019,neither,2
Julio Grande,195967,Mk10,30,06:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,07:00:00 30-Dec-2019,neither,2
Julio Grande,195967,Mk10,30,08:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,09:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,10:00:00 30-Dec-2019,neither,2
Julio Grande,195967,Mk10,30,11:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,12:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,13:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,14:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,15:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,16:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,17:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,18:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,19:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,20:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,21:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,22:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,30,23:00:00 30-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,00:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,01:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,02:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,03:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,04:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,05:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,06:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,07:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,08:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,09:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,10:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,11:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,12:00:00 31-Dec-2019,neither,2
Julio Grande,195967,Mk10,24,13:00:00 31-Dec-2019,neither,2
Julio Grande,195967,Mk10,24,14:00:00 31-Dec-2019,neither,2
Julio Grande,195967,Mk10,24,15:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,16:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,17:00:00 31-Dec-2019,neither,2
Julio Grande,195967,Mk10,24,18:00:00 31-Dec-2019,neither,2
Julio Grande,195967,Mk10,24,19:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,20:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,21:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,22:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,24,23:00:00 31-Dec-2019,deep,1
Julio Grande,195967,Mk10,20,00:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,01:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,02:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,03:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,04:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,05:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,06:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,07:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,08:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,09:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,10:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,11:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,12:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,13:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,14:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,15:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,16:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,17:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,18:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,19:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,20:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,21:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,22:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,23:00:00 01-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,00:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,01:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,02:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,03:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,04:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,05:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,06:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,07:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,08:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,09:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,10:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,11:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,12:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,13:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,14:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,15:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,16:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,17:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,18:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,19:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,20:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,21:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,22:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,14,23:00:00 02-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,00:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,01:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,02:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,03:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,04:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,05:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,06:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,07:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,08:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,09:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,10:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,11:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,12:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,13:00:00 03-Jan-2020,neither,2
Julio Grande,195967,Mk10,18,14:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,15:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,16:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,17:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,18:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,19:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,20:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,21:00:00 03-Jan-2020,deep,1
Julio Grande,195967,Mk10,18,22:00:00 03-Jan-2020,neither,2
Julio Grande,195967,Mk10,18,23:00:00 03-Jan-2020,neither,2
Julio Grande,195967,Mk10,20,00:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,01:00:00 04-Jan-2020,neither,2
Julio Grande,195967,Mk10,20,02:00:00 04-Jan-2020,neither,2
Julio Grande,195967,Mk10,20,03:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,04:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,05:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,06:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,07:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,08:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,09:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,10:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,11:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,12:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,13:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,14:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,15:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,16:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,17:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,18:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,19:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,20:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,21:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,22:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,23:00:00 04-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,00:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,01:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,02:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,03:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,04:00:00 05-Jan-2020,neither,2
Julio Grande,195967,Mk10,20,05:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,06:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,07:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,08:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,09:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,10:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,11:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,12:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,13:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,14:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,15:00:00 05-Jan-2020,dry,0
Julio Grande,195967,Mk10,20,16:00:00 05-Jan-2020,dry,0
Julio Grande,195967,Mk10,20,17:00:00 05-Jan-2020,dry,0
Julio Grande,195967,Mk10,20,18:00:00 05-Jan-2020,dry,0
Julio Grande,195967,Mk10,20,19:00:00 05-Jan-2020,neither,2
Julio Grande,195967,Mk10,20,20:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,21:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,22:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,20,23:00:00 05-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,00:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,01:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,02:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,03:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,04:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,05:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,06:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,07:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,08:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,09:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,10:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,11:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,12:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,13:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,14:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,15:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,16:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,17:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,18:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,19:00:00 06-Jan-2020,deep,1
