,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Julio Grande,16-Dec-2019,22:23:00,40,41.000000,62,5,1,6,,,,,,,,,,,,,,15,10,9273,,,,20,3152,,,,29,29911,,,,32,10768,,,,21,30892,,,,25,18940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,17-Dec-2019,04:49:00,12,41.000000,66,6,0,7,,,,,,,,,,,,,,15,3,914,,,,22,25716,,,,7,13257,,,,8,726,,,,18,2066,,,,28,5936,,,,30,4002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,17-Dec-2019,06:49:00,16,41.000000,67,6,1,8,,,,,,,,,,,,,,15,23,20029,,,,28,29089,,,,17,5903,,,,11,13922,,,,9,26389,,,,6,10522,,,,1,21653,,,,4,10787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,17-Dec-2019,08:49:00,10,41.000000,68,6,1,5,,,,,,,,,,,,,,15,9,11191,,,,19,17058,,,,17,31468,,,,5,16029,,,,23,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,17-Dec-2019,10:49:00,4,41.000000,69,6,1,8,,,,,,,,,,,,,,15,13,29565,,,,6,8144,,,,30,24875,,,,2,31917,,,,7,27543,,,,5,7235,,,,19,30387,,,,15,18850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,23-Dec-2019,18:13:00,2,41.000000,74,13,1,6,,,,,,,,,,,,,,15,10,19516,,,,15,27188,,,,21,25982,,,,29,6935,,,,20,634,,,,32,7994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,23-Dec-2019,18:36:00,6,41.000000,75,13,0,6,,,,,,,,,,,,,,15,32,28784,,,,25,4562,,,,20,26098,,,,15,29493,,,,26,1676,,,,29,18737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,23-Dec-2019,21:23:34,10,41.000000,76,14,0,6,,,,,,,,,,,,,,15,31,14758,,,,21,18379,,,,27,28644,,,,16,9301,,,,26,14268,,,,29,28282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,23-Dec-2019,23:30:34,2,41.000000,77,,0,9,,,,,,,,,,,,,,15,31,26658,,,,26,21803,,,,10,2258,,,,4,12664,,,,27,21884,,,,23,5388,,,,16,28840,,,,8,16180,,,,14,3865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,24-Dec-2019,02:04:59,4,41.000000,78,15,0,7,,,,,,,,,,,,,,15,26,5485,,,,18,16920,,,,16,3122,,,,22,30752,,,,3,17518,,,,23,10844,,,,9,32171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,24-Dec-2019,04:18:03,4,41.000000,79,15,0,8,,,,,,,,,,,,,,15,7,720,,,,23,18997,,,,9,27578,,,,8,16885,,,,3,22522,,,,30,20732,,,,4,26250,,,,22,18029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,24-Dec-2019,06:34:00,10,41.000000,80,,0,9,,,,,,,,,,,,,,15,7,31303,,,,30,7397,,,,28,30097,,,,11,25324,,,,17,12213,,,,23,14005,,,,9,19216,,,,8,24268,,,,4,6064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,24-Dec-2019,09:10:37,4,41.000000,81,17,0,6,,,,,,,,,,,,,,15,7,7903,,,,9,23515,,,,6,15491,,,,30,30134,,,,13,9852,,,,5,4649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,24-Dec-2019,11:16:03,6,41.000000,82,17,0,6,,,,,,,,,,,,,,15,19,7528,,,,17,27231,,,,6,28838,,,,30,3571,,,,5,3626,,,,15,9667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,24-Dec-2019,13:37:10,4,41.000000,83,17,0,5,,,,,,,,,,,,,,15,12,24429,,,,15,13098,,,,29,31859,,,,2,1263,,,,24,20676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,24-Dec-2019,15:54:05,6,41.000000,84,17,0,7,,,,,,,,,,,,,,15,29,13984,,,,5,940,,,,15,7599,,,,12,16296,,,,25,23573,,,,21,3886,,,,24,10701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,24-Dec-2019,20:24:12,4,41.000000,86,18,0,6,,,,,,,,,,,,,,15,29,26348,,,,31,29811,,,,32,20711,,,,16,31011,,,,10,32346,,,,20,14527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,24-Dec-2019,22:25:28,2,41.000000,87,18,0,4,,,,,,,,,,,,,,15,21,8032,,,,31,21427,,,,27,25526,,,,26,8531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,00:51:04,10,41.000000,88,,0,9,,,,,,,,,,,,,,15,11,17498,,,,31,18022,,,,23,21859,,,,1,17146,,,,8,16632,,,,22,682,,,,4,14151,,,,18,28338,,,,27,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,02:58:58,6,41.000000,89,,0,9,,,,,,,,,,,,,,15,7,21046,,,,18,29244,,,,8,24345,,,,1,26976,,,,23,15001,,,,16,26488,,,,11,20414,,,,4,24794,,,,3,26260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,05:09:21,14,41.000000,90,19,0,7,,,,,,,,,,,,,,15,3,3422,,,,7,32290,,,,22,13996,,,,28,15949,,,,11,19873,,,,30,17467,,,,1,18756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,08:21:05,14,41.000000,91,22,0,4,,,,,,,,,,,,,,15,28,30706,,,,30,1983,,,,7,24381,,,,9,14100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,10:31:17,8,41.000000,92,,0,9,,,,,,,,,,,,,,15,17,23325,,,,7,12323,,,,28,25388,,,,30,2858,,,,19,16651,,,,2,21182,,,,6,24640,,,,5,9529,,,,15,11769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,12:48:00,4,41.000000,93,22,0,4,,,,,,,,,,,,,,15,12,23559,,,,24,7975,,,,5,1152,,,,2,12536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,15:02:17,4,41.000000,94,22,0,7,,,,,,,,,,,,,,15,25,31730,,,,5,31333,,,,29,11243,,,,15,19745,,,,2,16593,,,,12,3,,,,13,12278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,17:34:51,4,41.000000,95,23,0,4,,,,,,,,,,,,,,15,10,12308,,,,25,22446,,,,29,7470,,,,15,26136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,19:35:00,2,41.000000,96,23,0,8,,,,,,,,,,,,,,15,21,26183,,,,10,3556,,,,32,28012,,,,20,1146,,,,29,1845,,,,24,30480,,,,25,21574,,,,14,8885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,25-Dec-2019,22:12:25,6,41.000000,97,24,0,8,,,,,,,,,,,,,,15,18,19826,,,,8,24826,,,,32,14282,,,,14,14995,,,,10,28342,,,,21,13558,,,,27,6251,,,,31,13992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,26-Dec-2019,00:41:34,4,41.000000,98,24,0,6,,,,,,,,,,,,,,15,22,19654,,,,31,6986,,,,23,21564,,,,26,30916,,,,3,320,,,,4,16799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Grande,26-Dec-2019,03:28:33,2,41.000000,99,25,0,7,,,,,,,,,,,,,,15,8,11152,,,,11,7854,,,,18,14150,,,,1,22360,,,,7,9505,,,,22,26076,,,,27,11257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
