DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Ravi,226066,Mk10,Strong,18-Nov-2021,00:48:21,18-Nov-2021,00:48:22
Ravi,226066,Mk10,Strong,03-Jul-2022,23:35:50,03-Jul-2022,23:36:11
