DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
142708,142708,,Mk10,12:00:00 01-Jun-2016,,,,0.000000,0.000000,Behavior,,,
142708,142708,,Mk10,16:00:00 01-Jun-2016,,,,0.000000,4.000000,PDT,0.000000,4.000000,PDT
142708,142708,,Mk10,18:00:00 01-Jun-2016,,,,0.000000,0.000000,Behavior,7.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 02-Jun-2016,,,,0.000000,0.000000,Status,7.000000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 02-Jun-2016,,,,0.000000,0.000000,Behavior,5.000000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 02-Jun-2016,,,,4.750000,0.500000,TimeSeries,6.750000,0.500000,TimeSeries
142708,142708,,Mk10,18:00:00 02-Jun-2016,,,,0.000000,0.000000,Status,,,
142708,142708,,Mk10,00:00:00 03-Jun-2016,,,,0.000000,0.000000,Status,6.000000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 03-Jun-2016,,,,0.000000,0.000000,Status,6.000000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 03-Jun-2016,,,,3.750000,0.500000,TimeSeries,6.750000,0.500000,TimeSeries
142708,142708,,Mk10,18:00:00 03-Jun-2016,,,,0.000000,0.000000,Behavior,5.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 04-Jun-2016,,,,0.000000,0.000000,Status,5.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 04-Jun-2016,,,,4.250000,0.500000,TimeSeries,6.750000,0.500000,TimeSeries
142708,142708,,Mk10,12:00:00 04-Jun-2016,,,,5.250000,0.500000,TimeSeries,7.250000,0.500000,TimeSeries
142708,142708,,Mk10,00:00:00 05-Jun-2016,,,,0.000000,0.000000,Status,5.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 05-Jun-2016,,,,0.000000,0.000000,Behavior,6.000000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 05-Jun-2016,,,,7.500000,0.000000,Behavior,7.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 05-Jun-2016,,,,0.000000,0.000000,Behavior,7.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 06-Jun-2016,,,,0.000000,0.000000,Behavior,6.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 06-Jun-2016,,,,3.750000,0.500000,TimeSeries,6.250000,0.500000,TimeSeries
142708,142708,,Mk10,12:00:00 06-Jun-2016,,,,0.000000,0.000000,Behavior,8.000000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 06-Jun-2016,,,,0.000000,0.000000,Status,8.000000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 07-Jun-2016,,,,0.000000,0.000000,Behavior,7.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 07-Jun-2016,,,,0.000000,0.000000,Behavior,7.000000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 07-Jun-2016,,,,0.000000,0.000000,Status,9.750000,0.500000,TimeSeries
142708,142708,,Mk10,18:00:00 07-Jun-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 08-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 08-Jun-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 08-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 08-Jun-2016,,,,0.000000,0.000000,Status,8.000000,4.000000,PDT
142708,142708,,Mk10,00:00:00 09-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,06:00:00 09-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 09-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 09-Jun-2016,,,,0.000000,0.000000,Status,9.000000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 10-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,12:00:00 10-Jun-2016,,,,0.000000,0.000000,Fast-GPS,9.000000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 10-Jun-2016,,,,0.000000,0.000000,Status,9.000000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 11-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 11-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 11-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 11-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 12-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 12-Jun-2016,,,,0.000000,0.000000,Status,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 12-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 12-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 13-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 13-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,12:00:00 13-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 13-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 14-Jun-2016,,,,0.000000,0.000000,Fast-GPS,8.000000,4.000000,PDT
142708,142708,,Mk10,06:00:00 14-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,12:00:00 14-Jun-2016,,,,0.000000,0.000000,Status,8.250000,0.500000,TimeSeries
142708,142708,,Mk10,18:00:00 14-Jun-2016,,,,0.000000,0.000000,Behavior,8.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 15-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 15-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 15-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 15-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 16-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 16-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 16-Jun-2016,,,,0.000000,0.000000,Fast-GPS,8.000000,4.000000,PDT
142708,142708,,Mk10,18:00:00 16-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 17-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 17-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 17-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 17-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 18-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 18-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,12:00:00 18-Jun-2016,,,,0.000000,0.000000,Status,8.000000,4.000000,PDT
142708,142708,,Mk10,18:00:00 18-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 19-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 19-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 19-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 19-Jun-2016,,,,0.000000,0.000000,Status,9.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 20-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,06:00:00 20-Jun-2016,,,,0.000000,0.000000,Behavior,12.000000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 20-Jun-2016,,,,0.000000,0.000000,Behavior,12.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 20-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,00:00:00 21-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 21-Jun-2016,,,,0.000000,0.000000,Status,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 21-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 21-Jun-2016,,,,0.000000,0.000000,Status,8.000000,4.000000,PDT
142708,142708,,Mk10,00:00:00 22-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 22-Jun-2016,,,,0.000000,0.000000,Status,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 22-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 22-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 23-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 23-Jun-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 23-Jun-2016,,,,0.000000,0.000000,Fast-GPS,8.000000,4.000000,PDT
142708,142708,,Mk10,00:00:00 24-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,06:00:00 24-Jun-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 24-Jun-2016,,,,0.000000,0.000000,Status,9.500000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 24-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 25-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 25-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 25-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 26-Jun-2016,,,,0.000000,0.000000,Status,8.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 26-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 26-Jun-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142708,142708,,Mk10,18:00:00 26-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,00:00:00 27-Jun-2016,,,,0.000000,0.000000,Status,9.500000,0.000000,Behavior
142708,142708,,Mk10,06:00:00 27-Jun-2016,,,,0.000000,0.000000,Status,9.500000,0.000000,Behavior
142708,142708,,Mk10,12:00:00 27-Jun-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142708,142708,,Mk10,18:00:00 27-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142708,142708,,Mk10,00:00:00 28-Jun-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
