DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy
162066,162066,,Transmission,Mk10,1,08:00:00 29-Jul-2016,16:00:00 29-Jul-2016,,,,0.0,0.00,4.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,00:00:00 30-Jul-2016,08:00:00 30-Jul-2016,,,,0.0,0.00,18.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,16:00:00 03-Aug-2016,00:00:00 04-Aug-2016,,,,0.0,0.00,7.5,0.00,,,,
162066,162066,,Transmission,Mk10,1,00:00:00 08-Aug-2016,08:00:00 08-Aug-2016,,,,0.0,0.00,8.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,00:00:00 10-Aug-2016,08:00:00 10-Aug-2016,,,,0.0,0.00,8.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,16:00:00 13-Aug-2016,00:00:00 14-Aug-2016,,,,0.0,0.00,8.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,00:00:00 14-Aug-2016,08:00:00 14-Aug-2016,,,,0.0,0.00,8.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,08:00:00 25-Aug-2016,16:00:00 25-Aug-2016,,,,0.0,0.00,8.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,08:00:00 26-Aug-2016,16:00:00 26-Aug-2016,,,,0.0,0.00,8.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,08:00:00 02-Sep-2016,16:00:00 02-Sep-2016,,,,0.0,0.00,8.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,08:00:00 13-Sep-2016,16:00:00 13-Sep-2016,,,,0.0,0.00,8.0,0.00,,,,
162066,162066,,Transmission,Mk10,1,16:00:00 06-Nov-2016,00:00:00 07-Nov-2016,,,,0.0,0.00,8.0,0.00,,,,
