,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Jubilubi,07-Dec-2021,14:08:01,3,4.000000,58,4,1,6,,,,,,,,,,,,,,15,20,26194,,,,12,29833,,,,25,25935,,,,15,31361,,,,2,29015,,,,5,15873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,07-Dec-2021,15:08:01,2,4.000000,59,4,1,4,,,,,,,,,,,,,,15,5,3311,,,,25,19390,,,,29,29623,,,,12,14988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,07-Dec-2021,16:08:02,1,4.000000,60,4,1,4,,,,,,,,,,,,,,15,25,32016,,,,29,15056,,,,18,9233,,,,15,25553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,07-Dec-2021,17:08:01,1,4.000000,61,4,1,7,,,,,,,,,,,,,,15,10,28117,,,,15,31451,,,,25,16930,,,,23,6870,,,,12,29754,,,,29,24112,,,,18,4781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,07-Dec-2021,18:08:01,2,4.000000,62,4,1,6,,,,,,,,,,,,,,15,23,8557,,,,32,11338,,,,25,25445,,,,10,12866,,,,29,16312,,,,26,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,07-Dec-2021,19:08:01,3,4.000000,63,4,1,6,,,,,,,,,,,,,,15,32,5251,,,,29,5284,,,,18,28840,,,,10,26932,,,,23,5775,,,,26,14822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,07-Dec-2021,20:08:01,3,4.000000,64,4,1,7,,,,,,,,,,,,,,15,32,2029,,,,18,27246,,,,31,4773,,,,10,19594,,,,27,24911,,,,26,18570,,,,16,30552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,07-Dec-2021,21:08:01,1,4.000000,65,4,1,4,,,,,,,,,,,,,,15,32,7892,,,,27,22140,,,,18,14822,,,,31,30322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,26-Dec-2021,11:39:01,10,7.000000,66,5,1,4,,,,,,,,,,,,,,15,24,24784,,,,5,5230,,,,13,10840,,,,29,5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,26-Dec-2021,12:39:01,4,7.000000,67,5,1,5,,,,,,,,,,,,,,15,5,18762,,,,12,5260,,,,20,27577,,,,15,21304,,,,24,26769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,26-Dec-2021,13:39:02,1,7.000000,68,5,1,7,,,,,,,,,,,,,,15,15,4830,,,,24,26736,,,,12,4522,,,,13,14253,,,,23,27386,,,,25,9178,,,,5,19403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,26-Dec-2021,14:41:59,2,7.000000,69,5,0,6,,,,,,,,,,,,,,15,12,15987,,,,15,24097,,,,10,13548,,,,24,26881,,,,23,2070,,,,18,13679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,26-Dec-2021,15:45:55,2,7.000000,70,5,0,6,,,,,,,,,,,,,,15,15,2596,,,,29,12105,,,,18,256,,,,10,12658,,,,26,29280,,,,23,4312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,26-Dec-2021,16:46:07,1,7.000000,71,5,0,5,,,,,,,,,,,,,,15,10,29104,,,,23,1607,,,,26,13264,,,,18,5553,,,,15,8614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,26-Dec-2021,22:03:53,2,7.000000,73,,0,9,,,,,,,,,,,,,,15,1,20911,,,,31,1334,,,,21,5239,,,,32,13237,,,,22,25681,,,,10,2349,,,,16,3918,,,,26,14438,,,,4,17600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,26-Dec-2021,23:46:56,3,7.000000,74,16,0,8,,,,,,,,,,,,,,15,3,25326,,,,4,22122,,,,1,3589,,,,26,13571,,,,22,3047,,,,16,26826,,,,27,25479,,,,31,27969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,27-Dec-2021,02:00:39,4,7.000000,75,20,0,6,,,,,,,,,,,,,,15,7,10827,,,,9,31315,,,,16,2183,,,,3,17470,,,,27,31242,,,,4,28084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,27-Dec-2021,03:27:24,3,7.000000,76,21,0,6,,,,,,,,,,,,,,15,7,31158,,,,9,31007,,,,30,14538,,,,8,21883,,,,27,7808,,,,14,7948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilubi,27-Dec-2021,04:30:09,1,7.000000,77,21,0,5,,,,,,,,,,,,,,15,28,11226,,,,17,490,,,,4,26435,,,,9,14890,,,,19,15214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
