DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
181926,181926,UT,Weak,29-Aug-2019,13:00:00,29-Aug-2019,13:00:00
181926,181926,UT,Strong,06-Sep-2019,12:42:24,06-Sep-2019,12:42:22
181926,181926,UT,Strong,01-Feb-2020,21:13:29,01-Feb-2020,21:12:59
