DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy
142702,142702,,Transmission,Mk10,2,00:00:00 30-Jul-2016,08:00:00 30-Jul-2016,,,,0.0,0.00,18.0,0.00,,,,
142702,142702,,Transmission,Mk10,1,16:00:00 30-Jul-2016,00:00:00 31-Jul-2016,,,,0.0,0.00,21.5,0.00,,,,
142702,142702,,Transmission,Mk10,1,16:00:00 31-Jul-2016,00:00:00 01-Aug-2016,,,,0.0,0.00,22.5,0.00,,,,
142702,142702,,Transmission,Mk10,1,16:00:00 02-Aug-2016,00:00:00 03-Aug-2016,,,,0.0,0.00,18.5,0.00,,,,
142702,142702,,Transmission,Mk10,1,08:00:00 04-Aug-2016,16:00:00 04-Aug-2016,,,,0.0,0.00,22.0,0.00,,,,
142702,142702,,Transmission,Mk10,1,00:00:00 05-Aug-2016,08:00:00 05-Aug-2016,,,,0.0,0.00,21.5,0.00,,,,
142702,142702,,Transmission,Mk10,1,08:00:00 05-Aug-2016,16:00:00 05-Aug-2016,,,,0.0,0.00,18.5,0.00,,,,
142702,142702,,Transmission,Mk10,2,08:00:00 07-Aug-2016,16:00:00 07-Aug-2016,,,,0.0,0.00,20.0,0.00,,,,
142702,142702,,Transmission,Mk10,1,00:00:00 08-Aug-2016,08:00:00 08-Aug-2016,,,,0.0,0.00,15.0,0.00,,,,
142702,142702,,Transmission,Mk10,1,08:00:00 10-Aug-2016,16:00:00 10-Aug-2016,,,,0.0,0.00,20.0,0.00,,,,
142702,142702,,Transmission,Mk10,1,08:00:00 14-Aug-2016,16:00:00 14-Aug-2016,,,,0.0,0.00,23.5,0.00,,,,
142702,142702,,Transmission,Mk10,3,16:00:00 14-Aug-2016,00:00:00 15-Aug-2016,,,,0.0,0.00,23.0,0.00,,,,
142702,142702,,Transmission,Mk10,1,16:00:00 17-Aug-2016,00:00:00 18-Aug-2016,,,,0.0,0.00,24.0,0.00,,,,
142702,142702,,Transmission,Mk10,1,00:00:00 18-Aug-2016,08:00:00 18-Aug-2016,,,,0.0,0.00,19.0,0.00,,,,
142702,142702,,Transmission,Mk10,1,16:00:00 19-Aug-2016,00:00:00 20-Aug-2016,,,,0.0,0.00,21.0,0.00,,,,
142702,142702,,Transmission,Mk10,2,08:00:00 21-Aug-2016,16:00:00 21-Aug-2016,,,,0.0,0.00,21.5,0.00,,,,
142702,142702,,Transmission,Mk10,1,00:00:00 24-Aug-2016,08:00:00 24-Aug-2016,,,,0.0,0.00,18.5,0.00,,,,
142702,142702,,Transmission,Mk10,1,00:00:00 25-Aug-2016,08:00:00 25-Aug-2016,,,,0.0,0.00,18.0,0.00,,,,
142702,142702,,Transmission,Mk10,1,08:00:00 25-Aug-2016,16:00:00 25-Aug-2016,,,,0.0,0.00,25.0,0.25,,,,
