DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
142702,142702,,Transmission,Mk10,1,16:42:00 29-Jul-2016,19:21:20 29-Jul-2016,Message,10,,,,9550.000000,9570.000000,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,16:42:00 29-Jul-2016,16:58:20 29-Jul-2016,Dive,1,Square,4.5,4.5,979,981,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,16:58:20 29-Jul-2016,16:58:30 29-Jul-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
142702,142702,,Transmission,Mk10,1,16:58:30 29-Jul-2016,17:20:50 29-Jul-2016,Dive,1,V,18.5,18.5,1339,1341,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,17:20:50 29-Jul-2016,17:21:20 29-Jul-2016,Surface,,,,,29,31,,,,,,,,,,,,,20,10
142702,142702,,Transmission,Mk10,1,17:21:20 29-Jul-2016,18:25:00 29-Jul-2016,Dive,1,Square,19.0,19.0,3819,3821,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,18:25:00 29-Jul-2016,18:25:20 29-Jul-2016,Surface,,,,,19,21,,,,,,,,,,,,,20,0
142702,142702,,Transmission,Mk10,1,18:25:20 29-Jul-2016,18:45:30 29-Jul-2016,Dive,1,Square,19.0,19.0,1209,1211,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,18:45:30 29-Jul-2016,18:46:10 29-Jul-2016,Surface,,,,,39,41,,,,,,,,,,,,,31,9
142702,142702,,Transmission,Mk10,1,18:46:10 29-Jul-2016,19:20:40 29-Jul-2016,Dive,1,Square,19.5,19.5,2069,2071,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,19:20:40 29-Jul-2016,19:21:20 29-Jul-2016,Surface,,,,,39,41,,,,,,,,,,,,,21,19
142702,142702,,Transmission,Mk10,1,00:09:00 30-Jul-2016,02:39:00 30-Jul-2016,Message,10,,,,8990.000000,9010.000000,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,00:09:00 30-Jul-2016,00:09:10 30-Jul-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
142702,142702,,Transmission,Mk10,1,00:09:10 30-Jul-2016,00:41:00 30-Jul-2016,Dive,1,Square,17.0,17.0,1909,1911,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,00:41:00 30-Jul-2016,00:41:10 30-Jul-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
142702,142702,,Transmission,Mk10,1,00:41:10 30-Jul-2016,00:55:20 30-Jul-2016,Dive,1,Square,16.0,16.0,849,851,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,00:55:20 30-Jul-2016,00:55:50 30-Jul-2016,Surface,,,,,29,31,,,,,,,,,,,,,20,10
142702,142702,,Transmission,Mk10,1,00:55:50 30-Jul-2016,01:23:40 30-Jul-2016,Dive,1,Square,15.0,15.0,1669,1671,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,01:23:40 30-Jul-2016,01:24:40 30-Jul-2016,Surface,,,,,59,61,,,,,,,,,,,,,31,29
142702,142702,,Transmission,Mk10,1,01:24:40 30-Jul-2016,02:17:40 30-Jul-2016,Dive,1,Square,14.5,14.5,3179,3181,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,02:17:40 30-Jul-2016,02:18:30 30-Jul-2016,Surface,,,,,49,51,,,,,,,,,,,,,21,29
142702,142702,,Transmission,Mk10,1,02:18:30 30-Jul-2016,02:39:00 30-Jul-2016,Dive,1,Square,12.5,12.5,1229,1231,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,04:29:00 30-Jul-2016,07:13:30 30-Jul-2016,Message,9,,,,9861.000000,9879.000000,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,04:29:00 30-Jul-2016,04:30:00 30-Jul-2016,Surface,,,,,59,61,,,,,,,,,,,,,41,19
142702,142702,,Transmission,Mk10,1,04:30:00 30-Jul-2016,05:32:30 30-Jul-2016,Dive,1,Square,12.5,12.5,3749,3751,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,05:32:30 30-Jul-2016,05:33:30 30-Jul-2016,Surface,,,,,59,61,,,,,,,,,,,,,31,29
142702,142702,,Transmission,Mk10,1,05:33:30 30-Jul-2016,06:22:20 30-Jul-2016,Dive,1,Square,15.0,15.0,2929,2931,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,06:22:20 30-Jul-2016,06:22:30 30-Jul-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
142702,142702,,Transmission,Mk10,1,06:22:30 30-Jul-2016,06:40:50 30-Jul-2016,Dive,1,U,15.0,15.0,1099,1101,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,06:40:50 30-Jul-2016,06:41:00 30-Jul-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
142702,142702,,Transmission,Mk10,1,06:41:00 30-Jul-2016,07:11:50 30-Jul-2016,Dive,1,Square,11.5,11.5,1849,1851,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,1,07:11:50 30-Jul-2016,07:13:30 30-Jul-2016,Surface,,,,,99,101,,,,,,,,,,,,,71,29
142702,142702,,Transmission,Mk10,2,09:21:00 30-Jul-2016,11:11:10 30-Jul-2016,Message,10,,,,6600.000000,6620.000000,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,2,09:21:00 30-Jul-2016,09:45:00 30-Jul-2016,Dive,1,Square,14.5,14.5,1439,1441,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,2,09:45:00 30-Jul-2016,09:46:20 30-Jul-2016,Surface,,,,,79,81,,,,,,,,,,,,,31,49
142702,142702,,Transmission,Mk10,2,09:46:20 30-Jul-2016,10:13:50 30-Jul-2016,Dive,1,U,17.5,17.5,1649,1651,,,,,,,,,,,,,,
142702,142702,,Transmission,Mk10,2,10:13:50 30-Jul-2016,10:14:00 30-Jul-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
