PlatformID ,Platform,PrgNo,Latitude,Ycoord,Long,Xcoord,Heading,Speed,LocQuality,LocDate,Altitude,Pass,Sat,Frequency,Long1,Latsol1,Long2,Latsol2,Locidx,Nopc,Msg,abv120DB,Bestlevel,Deltafreq,ErrorRadius,Semimjraxis,Semimnraxis,EllipseOrient,GDOP
135139,,14230,"25ç 59' 18""N",25.98833333,"51ç 29' 31""E",51.49194444,,,A,27.02.14 00:11:35,0,91,NP,401677493.1,"51ç 29' 31""E","25ç 59' 18""N","51ç 29' 31""E","25ç 59' 18""N",0,3,3,0,-131,677493.1,11845,82311,1704,119,7245
135139,,14230,"26ç 01' 25""N",26.02361111,"51ç 26' 20""E",51.43888889,,,A,27.02.14 01:06:35,0,91,SR,401677499.8,"51ç 26' 20""E","26ç 01' 25""N","51ç 26' 20""E","26ç 01' 25""N",8,3,3,0,-134,677499.8,4679,18665,1172,78,3106
135139,,14230,"26ç 01' 17""N",26.02138889,"51ç 24' 09""E",51.4025,,,B,27.02.14 02:48:14,0,45,SR,401677499.6,"51ç 24' 09""E","26ç 01' 17""N","51ç 24' 09""E","26ç 01' 17""N",8,3,2,0,-122,677499.6,2701,23438,311,96,3129
135139,,14230,"26ç 01' 27""N",26.02416667,"51ç 11' 33""E",51.1925,,,0,27.02.14 09:42:10,0,182,NP,401677494.9,"51ç 11' 33""E","26ç 01' 27""N","51ç 11' 33""E","26ç 01' 27""N",48,3,4,0,-126,677494.9,24673,317873,1915,100,7054
135139,,14230,"26ç 01' 59""N",26.03305556,"51ç 26' 25""E",51.44027778,,,0,27.02.14 11:23:05,0,268,NN,401677484.5,"51ç 26' 25""E","26ç 01' 59""N","51ç 26' 25""E","26ç 01' 59""N",48,3,6,0,-124,677484.5,2937,14634,589,81,714
135139,,14230,"26ç 01' 34""N",26.02611111,"51ç 27' 15""E",51.45416667,,,B,27.02.14 13:26:06,0,46,SR,401677485.5,"51ç 27' 15""E","26ç 01' 34""N","51ç 27' 15""E","26ç 01' 34""N",8,3,2,0,-133,677485.5,2984,6974,1276,93,3979
135139,,14230,"26ç 01' 05""N",26.01805556,"51ç 24' 21""E",51.40583333,,,2,27.02.14 15:07:46,0,589,SR,401677498.9,"51ç 24' 21""E","26ç 01' 05""N","51ç 24' 21""E","26ç 01' 05""N",58,3,5,0,-121,677498.9,424,1694,106,123,602
135139,,14230,"26ç 00' 55""N",26.01527778,"51ç 24' 46""E",51.41277778,,,A,27.02.14 18:12:21,0,91,NL,401677499,"51ç 24' 46""E","26ç 00' 55""N","51ç 24' 46""E","26ç 00' 55""N",8,3,3,0,-125,677499,1718,16825,175,90,3353
135139,,14230,"26ç 00' 24""N",26.00666667,"51ç 18' 50""E",51.31388889,,,A,28.02.14 05:01:21,0,136,NL,401677472.3,"51ç 18' 50""E","26ç 00' 24""N","51ç 18' 50""E","26ç 00' 24""N",8,3,3,0,-131,677472.3,13750,138980,1360,92,5912
135139,,14230,"25ç 59' 41""N",25.99472222,"51ç 25' 04""E",51.41777778,,,1,28.02.14 11:08:07,0,319,NN,401677495.7,"51ç 25' 04""E","25ç 59' 41""N","51ç 25' 04""E","25ç 59' 41""N",48,3,7,0,-126,677495.7,1304,4827,352,46,588
