Platform ID ,Platform,Prg No.,Latitude,Lat (DD),Longitude,Lon (DD),Heading,Speed,Loc. quality,Loc. date,Altitude,Pass,Sat.,Frequency,Msg Date,Comp.,Alarm,Format name,PTT CURRENT ,BATTERY ,NB OF ,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,,,,,,,,,,,,,,,,
144320,,14230,"26ç 12' 34""N",26.20944444,"51ç 13' 56""E",51.23222222,,,B,29.12.14 10:40:26,0,154,NP,401677440.6,29.12.14 10:39:09,1,N,FORMAT TEMPL. 31X8-A1 ,,,,50,238,0,8,18,57,251,189,250,160,54,126,212,119,56,,,,,,,,,,,,,,,,,"51ç 13' 56""E","26ç 12' 34""N","51ç 13' 56""E","26ç 12' 34""N",8,3,2,0,-130,677440.6,3972,157664,100,63,11231
144320,,14230,"26ç 11' 30""N",26.19166667,"51ç 13' 19""E",51.22194444,,,B,29.12.14 23:15:30,0,47,NP,401677438.7,29.12.14 23:15:07,1,N,FORMAT TEMPL. 31X8-A1 ,,,,51,110,0,0,0,0,0,249,33,0,0,0,0,0,69,,,,,,,,,,,,,,,,,"51ç 13' 19""E","26ç 11' 30""N","51ç 13' 19""E","26ç 11' 30""N",0,3,2,0,-121,677438.7,1986,32507,121,114,5597
144320,,14230,"26ç 11' 16""N",26.18777778,"51ç 13' 04""E",51.21777778,,,B,30.12.14 06:13:06,0,99,MA,401677442.8,30.12.14 06:12:17,1,N,FORMAT TEMPL. 31X8-A1 ,,,,51,174,33,128,211,108,148,219,32,77,4,198,104,32,178,,,,,,,,,,,,,,,,,"51ç 13' 04""E","26ç 11' 16""N","51ç 13' 04""E","26ç 11' 16""N",8,3,2,1,-117,677442.8,2426,31886,184,117,6856
144320,,14230,"26ç 11' 09""N",26.18583333,"51ç 12' 48""E",51.21333333,,,B,30.12.14 23:02:38,0,46,NP,401677444.2,30.12.14 23:02:15,1,N,FORMAT TEMPL. 31X8-A1 ,,,,51,200,96,0,4,4,0,0,240,0,0,0,0,0,21,,,,,,,,,,,,,,,,,"51ç 12' 48""E","26ç 11' 09""N","51ç 12' 48""E","26ç 11' 09""N",0,3,2,0,-123,677444.2,2667,63103,112,90,7530
144320,,14230,"26ç 11' 21""N",26.18916667,"51ç 13' 06""E",51.21833333,,,B,01.01.15 10:08:57,0,79,NP,401677437.3,01.01.15 10:08:18,1,N,FORMAT TEMPL. 31X8-A1 ,,,,51,78,0,0,0,0,0,110,89,84,177,28,114,31,123,,,,,,,,,,,,,,,,,"51ç 13' 06""E","26ç 11' 21""N","51ç 13' 06""E","26ç 11' 21""N",0,3,2,0,-129,677437.3,4018,260746,61,76,11360
144320,,14230,"26ç 11' 43""N",26.19527778,"51ç 11' 59""E",51.19972222,,,B,05.01.15 11:03:48,0,329,NP,401677439.5,05.01.15 11:01:04,1,N,FORMAT TEMPL. 31X8-A1 ,,,,4,78,0,0,0,0,0,248,56,5,0,0,0,0,121,,,,,,,,,,,,,,,,,"51ç 11' 59""E","26ç 11' 43""N","51ç 11' 59""E","26ç 11' 43""N",0,3,2,0,-126,677439.5,5160,475902,55,93,14591
144320,,14230,"26ç 11' 31""N",26.19194444,"51ç 12' 12""E",51.20333333,,,B,05.01.15 18:38:18,0,116,MA,401677441.5,05.01.15 18:36:22,1,N,FORMAT TEMPL. 31X8-A1 ,,,,4,78,0,0,0,0,0,248,56,5,0,0,0,0,121,,,,,,,,,,,,,,,,,"51ç 12' 12""E","26ç 11' 31""N","51ç 12' 12""E","26ç 11' 31""N",8,3,2,0,-122,677441.5,4050,145545,112,97,11450
144320,,14230,"26ç 11' 40""N",26.19444444,"51ç 12' 34""E",51.20944444,,,B,06.01.15 23:29:35,0,129,NP,401677443.5,06.01.15 23:28:31,1,N,FORMAT TEMPL. 31X8-A1 ,,,,4,136,0,0,0,0,0,188,244,0,0,0,0,0,196,,,,,,,,,,,,,,,,,"51ç 12' 34""E","26ç 11' 40""N","51ç 12' 34""E","26ç 11' 40""N",0,3,2,0,-123,677443.5,4155,129081,133,87,11743
144320,,14230,"26ç 10' 50""N",26.18055556,"51ç 11' 59""E",51.19972222,,,A,07.01.15 21:34:52,0,101,NP,401677437.2,07.01.15 21:34:51,1,N,FORMAT TEMPL. 31X8-A1 ,,,,4,46,0,0,0,0,0,251,90,0,1,0,0,33,120,,,,,,,,,,,,,,,,,"51ç 11' 59""E","26ç 10' 50""N","51ç 11' 59""E","26ç 10' 50""N",0,3,3,0,-132,677437.2,1495,7745,288,37,4205
144320,,14230,"26ç 11' 19""N",26.18861111,"51ç 12' 32""E",51.20888889,,,B,08.01.15 10:28:54,0,203,NP,401677439.6,08.01.15 10:27:13,1,N,FORMAT TEMPL. 31X8-A1 ,,,,4,78,0,0,0,0,0,248,56,5,0,32,0,0,121,,,,,,,,,,,,,,,,,"51ç 12' 32""E","26ç 11' 19""N","51ç 12' 32""E","26ç 11' 19""N",8,3,2,0,-122,677439.6,2833,64788,123,61,8005
