Platform ID ,Platform,Prg No.,Latitude,Lat (DD),Longitude,Lon (DD),Heading,Speed,Loc. quality,Loc. date,Altitude,Pass,Sat.,Frequency,Msg Date,Comp.,Alarm,Format name,PTT CURRENT ,BATTERY ,NB OF ,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,,,,,,,,,,,,,,,,
144321,,14230,"26Á 11' 54""N",26.19833333,"51Á 12' 04""E",51.20111111,,,1,10.12.14 10:50:30,0,408,NP,401677486.2,10.12.14 10:52:14,1,N,FORMAT TEMPL. 31X8-A1 ,,,,1,120,202,62,66,118,157,,,,,,,,,"51Á 12' 04""E","26Á 11' 54""N","33Á 40' 48""E","22Á 22' 50""N",40,3,5,0,-123,677486.2,1308,5003,342,88,397,,,,,,,,,,,,,,,,
144321,,14230,"26Á 14' 46""N",26.24611111,"50Á 59' 59""E",50.99972222,,,A,11.12.14 06:09:51,0,365,MA,401677472.4,11.12.14 06:09:02,1,N,FORMAT TEMPL. 31X8-A1 ,,,,0,10,0,0,0,0,0,0,8,8,0,32,196,223,128,"50Á 59' 59""E","26Á 14' 46""N","50Á 59' 59""E","26Á 14' 46""N",0,3,3,1,-113,677472.4,15670,0,237,108,6650,,,,,,,,,,,,,,,,
144321,,14230,"26Á 14' 35""N",26.24305556,"51Á 09' 46""E",51.16277778,,,A,11.12.14 23:09:32,0,240,NP,401677486.7,11.12.14 23:08:43,1,N,FORMAT TEMPL. 31X8-A1 ,,,,49,73,0,0,0,0,0,0,0,252,151,49,36,21,137,"51Á 09' 46""E","26Á 14' 35""N","51Á 09' 46""E","26Á 14' 35""N",7,3,3,0,-128,677486.7,6934,323280,148,112,6096,,,,,,,,,,,,,,,,
144321,,14230,"26Á 14' 47""N",26.24638889,"51Á 22' 24""E",51.37333333,,,B,12.12.14 23:02:49,0,45,NP,401677489.6,12.12.14 23:02:27,1,N,FORMAT TEMPL. 31X8-A1 ,,,,49,78,0,0,0,0,0,0,254,32,136,2,0,0,91,"51Á 22' 24""E","26Á 14' 47""N","51Á 22' 24""E","26Á 14' 47""N",0,3,2,0,-123,677489.6,2349,47876,115,114,6628,,,,,,,,,,,,,,,,
144321,,14230,"26Á 13' 17""N",26.22138889,"51Á 28' 56""E",51.48222222,,,B,13.12.14 06:15:40,0,45,MB,401677493,13.12.14 06:15:18,1,N,FORMAT TEMPL. 31X8-A1 ,,,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"51Á 28' 56""E","26Á 13' 17""N","51Á 28' 56""E","26Á 13' 17""N",8,3,2,0,-131,677493,2552,50900,128,104,7212,,,,,,,,,,,,,,,,
144321,,14230,"26Á 13' 44""N",26.22888889,"51Á 27' 24""E",51.45666667,,,B,13.12.14 07:07:52,0,44,MA,401677471.2,13.12.14 07:07:31,1,N,FORMAT TEMPL. 31X8-A1 ,,,,49,78,0,0,0,0,0,0,255,40,4,7,166,18,228,"51Á 27' 24""E","26Á 13' 44""N","51Á 27' 24""E","26Á 13' 44""N",8,3,2,0,-130,677471.2,2356,7906,701,98,6001,,,,,,,,,,,,,,,,
144321,,14230,"26Á 16' 49""N",26.28027778,"51Á 21' 50""E",51.36388889,,,0,13.12.14 10:23:43,0,441,NP,401677481.1,13.12.14 10:21:35,1,N,FORMAT TEMPL. 31X8-A1 ,,,,49,73,0,0,0,0,0,0,0,252,151,49,36,21,129,"51Á 21' 50""E","26Á 16' 49""N","51Á 21' 50""E","26Á 16' 49""N",48,3,5,0,-123,677481.1,2302,21568,245,77,747,,,,,,,,,,,,,,,,
144321,,14230,"26Á 34' 51""N",26.58083333,"51Á 18' 17""E",51.30472222,,,0,15.12.14 06:21:46,0,346,MA,401677482,15.12.14 06:23:28,1,N,FORMAT TEMPL. 31X8-A1 ,,,,3,122,199,90,68,114,167,,,,,,,,,"51Á 18' 17""E","26Á 34' 51""N","51Á 18' 17""E","26Á 34' 51""N",40,2,5,2,-116,677482,2704,44878,162,100,1195,,,,,,,,,,,,,,,,
144321,,14230,"26Á 33' 46""N",26.56277778,"51Á 16' 37""E",51.27694444,,,3,15.12.14 09:55:48,0,374,NP,401677474.1,15.12.14 09:57:18,1,N,FORMAT TEMPL. 31X8-A1 ,,,,49,174,0,0,0,0,0,0,0,248,22,0,0,0,19,"51Á 16' 37""E","26Á 33' 46""N","51Á 16' 37""E","26Á 33' 46""N",58,2,5,0,-121,677474.1,217,376,124,81,266,,,,,,,,,,,,,,,,
144321,,14230,"26Á 29' 39""N",26.49416667,"51Á 08' 48""E",51.14666667,,,A,16.12.14 09:45:51,0,122,NP,401677485.5,16.12.14 09:46:01,1,N,FORMAT TEMPL. 31X8-A1 ,,,,3,125,206,56,76,122,167,,,,,,,,,"51Á 08' 48""E","26Á 29' 39""N","51Á 08' 48""E","26Á 29' 39""N",8,3,3,0,-122,677485.5,564,4654,68,65,1554,,,,,,,,,,,,,,,,
