DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Neto,41588,UT,13:18:57 10-Dec-2021,,,A,-3.8424,-32.4305,CRC 10.9,13:18:57 10-Dec-2021,Status,10,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,11:09:45 13-Dec-2021,,,B,-3.8050,-32.4430,CRC 6.10,11:09:45 13-Dec-2021,Status,22,75,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,10:17:13 14-Dec-2021,,,B,-3.8434,-32.4391,CRC 10.9,10:17:13 14-Dec-2021,Status,74,77,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,10:30:12 14-Dec-2021,,,A,-3.8423,-32.4397,CRC 10.3,,,138,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,10:31:18 14-Dec-2021,,,A,-3.8423,-32.4397,CRC 6.5,10:31:18 14-Dec-2021,Status,54,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,08:22:39 15-Dec-2021,,,B,-3.8765,-32.4902,CRC 11.6,,,107,200,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,23:35:03 15-Dec-2021,,,B,-3.8447,-32.4399,CRC 10.8,23:35:03 15-Dec-2021,Status,10,1,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,00:57:17 17-Dec-2021,,,3,-3.8511,-32.4438,CRC 1.7,00:57:17 17-Dec-2021,Status,65,92,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,20:00:12 17-Dec-2021,,,B,-3.8530,-32.4197,CRC 2.13,20:00:12 17-Dec-2021,Status,50,247,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,19:30:18 18-Dec-2021,,,B,-3.8303,-32.4532,CRC 95.147,19:30:13 18-Dec-2021,Status,75,240,131,220,104,101,231,16,249,77,227,85,52,22,71,5,39,219,29,148,208,255,128,,,,,,,,,
Neto,41588,UT,21:07:06 19-Dec-2021,,,B,-3.8655,-32.4632,CRC 15.12,,,111,76,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,12:14:51 20-Dec-2021,,,B,-3.8424,-32.4403,CRC 208.156,12:14:46 20-Dec-2021,Status,90,16,135,220,104,37,231,81,234,48,235,149,22,26,3,20,1,255,29,212,224,255,128,,,,,,,,,
Neto,41588,UT,21:58:10 20-Dec-2021,,,B,-3.8375,-32.4461,CRC 0.4,21:58:10 20-Dec-2021,Status,80,83,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,23:18:41 20-Dec-2021,,,B,-3.8403,-32.4450,CRC 6.15,23:18:41 20-Dec-2021,Status,22,139,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,08:41:58 21-Dec-2021,,,B,-3.8631,-32.4367,,,,109,139,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,41588,UT,10:32:29 22-Dec-2021,,,A,-3.8391,-32.4172,CRC 42.149,08:32:01 07-Dec-2021,Status,69,80,131,220,104,101,247,80,195,162,0,97,212,173,112,150,9,244,67,11,63,64,231,,,,,,,,,
